b,L_train,L_eval,alloc,tau,n_wL_le1,erank_raw,erank_whit,C_cos,C_full,cond_whit,erank_raw_sym,erank_whit_sym,C_cos_sym,C_full_sym,logdet_erank_sym
500000.0,4096,4096,geometric,,12,12.383136,13.446947,95.962673,124.1848,2.5027911e+10,16.510578,19.118608,86.956838,94.007227,0.0047820521
500000.0,4096,8192,geometric,,10,15.436031,16.560671,75.000887,99.88617,2.6969642e+09,20.403265,22.913426,66.129422,73.4249,0.057286861
500000.0,4096,16384,geometric,,9,19.122581,20.264858,56.601089,78.480766,8.3476437e+08,25.039245,27.322526,49.35903,55.250853,0.73397975
500000.0,4096,4096,EVQ-Cosh tau=0.5,0.5,11,13.189683,14.279383,89.951151,116.95846,2.4270183e+10,17.49268,20.086484,80.530696,88.480475,0.0086115811
500000.0,4096,8192,EVQ-Cosh tau=0.5,0.5,10,16.379191,17.523533,69.89242,93.751235,6.7210874e+09,21.499562,24.059502,62.491248,68.23077,0.095375091
500000.0,4096,16384,EVQ-Cosh tau=0.5,0.5,8,20.178122,21.347969,52.640978,73.064168,8.3476858e+08,26.185481,28.526773,45.405464,51.197993,1.0866861
500000.0,4096,4096,EVQ-Cosh tau=1.0,1.0,10,15.626388,16.792585,74.395925,98.082917,4.5829333e+08,20.397611,23.122306,66.285539,72.849383,0.033029786
500000.0,4096,8192,EVQ-Cosh tau=1.0,1.0,9,19.179255,20.382068,57.20723,77.813497,7.7618019e+10,24.66792,27.194342,50.596393,56.213953,0.3503365
500000.0,4096,16384,EVQ-Cosh tau=1.0,1.0,7,23.278928,24.482117,42.571097,59.974083,4.8922844e+10,29.540259,31.975548,36.885963,41.078044,3.7458136
500000.0,4096,4096,EVQ-Cosh tau=1.4,1.4,9,18.72994,19.953158,59.182004,79.834991,1.8568209e+09,23.997754,26.699711,52.983389,58.139123,0.14747489
500000.0,4096,8192,EVQ-Cosh tau=1.4,1.4,8,22.669141,23.92247,44.876662,61.899377,4.7108354e+08,28.550848,31.125356,38.93458,43.915175,1.4185744
500000.0,4096,16384,EVQ-Cosh tau=1.4,1.4,7,27.059853,28.283384,32.946977,47.393243,7.8639494e+08,33.411559,35.755777,28.628,31.842843,14.95075
500000.0,4096,4096,EVQ-Cosh tau=2.0,2.0,7,24.979354,26.270969,38.070998,53.221094,4.1252358e+09,30.986117,33.525763,33.216345,37.674897,1.7269293
500000.0,4096,8192,EVQ-Cosh tau=2.0,2.0,6,29.493285,30.745645,27.912222,40.263761,1.4718581e+10,35.650447,38.217967,24.333718,27.061662,14.773482
500000.0,4096,16384,EVQ-Cosh tau=2.0,2.0,5,34.18407,35.391916,19.975598,29.753714,8.935102e+10,40.470909,42.755648,17.236379,18.979617,112.7219
500000.0,4096,4096,EVQ-Cosh tau=2.5,2.5,6,31.103,32.387085,24.6749,35.976059,1.2797083e+10,37.419185,39.760288,21.25168,24.271054,13.039564
500000.0,4096,8192,EVQ-Cosh tau=2.5,2.5,5,35.882779,37.111498,17.531216,26.097688,1.2694785e+08,42.00025,44.077635,14.759281,17.407203,84.375882
500000.0,4096,16384,EVQ-Cosh tau=2.5,2.5,4,40.560822,41.691221,12.141271,18.780548,3.4308873e+10,46.401217,48.144503,9.8748518,12.053559,572.08339
500000.0,4096,4096,EVQ-Cosh tau=3.0,3.0,5,37.382328,38.543217,15.189474,23.710426,1.5271229e+09,43.546111,45.8636,13.320497,14.628557,63.93989
500000.0,4096,8192,EVQ-Cosh tau=3.0,3.0,4,42.136395,43.240948,10.315863,16.474909,1.1379754e+08,47.744425,49.811356,9.2593648,9.9706848,378.27233
500000.0,4096,16384,EVQ-Cosh tau=3.0,3.0,3,46.479472,47.510912,6.7829026,11.257032,1.3039638e+08,51.419812,53.158478,5.9600132,6.7346464,2006.5035
500000.0,4096,4096,cos-opt,,1,59.220755,59.578579,1.0001143,1.7173679,126.22448,59.973647,61.098589,1.0001136,1.0951488,999.06588
500000.0,4096,8192,cos-opt,,1,59.792326,60.356595,1.0000286,1.1519929,13.919945,59.974943,61.240714,1.0000634,1.0238036,1848.6457
500000.0,4096,16384,cos-opt,,1,59.929549,60.504547,1.0000072,1.0363272,11.508956,59.979242,61.275179,1.0000387,1.0059629,4742.396
500000.0,4096,4096,full-opt,,1,59.95388,60.531144,1.0001198,1.0110048,10.916926,59.971014,61.283672,1.001533,1.0015526,890.59484
500000.0,4096,8192,full-opt,,1,59.968782,60.545855,1.0000294,1.0027662,10.901822,59.974529,61.285977,1.0003176,1.0003378,2335.5498
500000.0,4096,16384,full-opt,,1,59.973333,60.549599,1.0000072,1.0006919,10.89673,59.979181,61.286426,1.0000934,1.0000967,4743.3048
500000.0,4096,4096,logdet-opt,,1,59.953821,60.531086,1.0001195,1.0110528,10.915124,59.971549,61.284183,1.0012927,1.0013173,1123.2931
500000.0,4096,8192,logdet-opt,,1,59.968777,60.545849,1.0000292,1.0027742,10.901399,59.97443,61.285916,1.0003644,1.0003711,2354.2279
500000.0,4096,16384,logdet-opt,,1,59.973331,60.549597,1.0000072,1.0006939,10.896616,59.979203,61.286448,1.0000849,1.0000878,4172.6752
500000.0,4096,4096,uniform,,0,63.951405,63.951407,0.00011816441,0.011559686,1.3908655,63.999875,63.999876,0.00012140617,6.1576858e-05,4095.4919
500000.0,4096,8192,uniform,,0,63.987868,63.987869,2.9560755e-05,0.0028872124,1.1780594,63.999942,63.999943,5.1854748e-05,2.8527032e-05,8191.4926
500000.0,4096,16384,uniform,,0,63.996968,63.996968,7.3936187e-06,0.00072168074,1.0852409,63.999972,63.999973,1.7973031e-05,1.3725075e-05,16383.493
500000.0,1024,1024,geometric,,15,7.8318116,8.7254406,146.18511,180.54352,1.2001159e+09,10.600115,13.003016,133.96436,144.29264,3.1614483e-05
500000.0,1024,2048,geometric,,13,9.8736524,10.853364,119.75849,151.23958,1.2678911e+11,13.275109,15.777665,109.01995,118.22013,0.00041190765
500000.0,1024,4096,geometric,,12,12.383136,13.446947,95.962673,124.1848,2.5027911e+10,16.510578,19.118608,86.956838,94.007227,0.0047820521
