model,case_id,level,context_length,depth_name,hit_rate,mean_true_loss,mean_false_loss,mean_margin,n
Anchored-20,L1_256_near20,L1,256,near20,0.5,10.19375,10.66875,0.475,20
Anchored-20,L2_4096_easy,L2,4096,easy,0.4,10.746875,10.84375,0.096875,20
Anchored-20,L2_4096_hard,L2,4096,hard,0.45,10.565625,10.684375,0.11875,20
Anchored-20,L2_4096_medium,L2,4096,medium,0.4,10.975,10.609375,-0.365625,20
Anchored-20,L2_8192_easy,L2,8192,easy,0.4,9.984375,9.965625,-0.01875,20
Anchored-20,L2_8192_hard,L2,8192,hard,0.3,10.034375,9.64375,-0.390625,20
Anchored-20,L2_8192_medium,L2,8192,medium,0.45,10.234375,10.2625,0.028125,20
Anchored-20,L3_12000_easy,L3,12000,easy,0.55,10.64375,10.453125,-0.190625,20
Anchored-20,L3_12000_hard,L3,12000,hard,0.5,10.575,10.253125,-0.321875,20
Anchored-alpha,L1_256_near20,L1,256,near20,0.65,10.3296875,10.609375,0.2796875,20
Anchored-alpha,L2_4096_easy,L2,4096,easy,0.55,10.9375,10.996875,0.059375,20
Anchored-alpha,L2_4096_hard,L2,4096,hard,0.5,11.190625,11.165625,-0.025,20
Anchored-alpha,L2_4096_medium,L2,4096,medium,0.55,10.134375,10.3484375,0.2140625,20
Anchored-alpha,L2_8192_easy,L2,8192,easy,0.55,10.65625,10.3984375,-0.2578125,20
Anchored-alpha,L2_8192_hard,L2,8192,hard,0.65,10.253125,10.8609375,0.6078125,20
Anchored-alpha,L2_8192_medium,L2,8192,medium,0.7,10.6046875,10.7875,0.1828125,20
Anchored-alpha,L3_12000_easy,L3,12000,easy,0.5,11.14375,11.225,0.08125,20
Anchored-alpha,L3_12000_hard,L3,12000,hard,0.4,11.240625,10.565625,-0.675,20
Sigmoid,L1_256_near20,L1,256,near20,0.75,9.8515625,11.08125,1.2296875,20
Sigmoid,L2_4096_easy,L2,4096,easy,0.75,11.88125,13.33125,1.45,20
Sigmoid,L2_4096_hard,L2,4096,hard,0.5,12.703125,13.1,0.396875,20
Sigmoid,L2_4096_medium,L2,4096,medium,0.7,11.83125,13.11875,1.2875,20
Sigmoid,L2_8192_easy,L2,8192,easy,0.65,11.8375,13.04375,1.20625,20
Sigmoid,L2_8192_hard,L2,8192,hard,0.7,11.68125,13.071875,1.390625,20
Sigmoid,L2_8192_medium,L2,8192,medium,0.8,12.7,14.05,1.35,20
Sigmoid,L3_12000_easy,L3,12000,easy,0.45,12.30625,12.428125,0.121875,20
Sigmoid,L3_12000_hard,L3,12000,hard,0.55,12.921875,13.315625,0.39375,20
Standard,L1_256_near20,L1,256,near20,0.65,11.0625,11.6375,0.575,20
Standard,L2_4096_easy,L2,4096,easy,0.85,11.490625,12.7375,1.246875,20
Standard,L2_4096_hard,L2,4096,hard,0.4,12.93125,12.559375,-0.371875,20
Standard,L2_4096_medium,L2,4096,medium,0.8,11.2890625,12.428125,1.1390625,20
Standard,L2_8192_easy,L2,8192,easy,0.65,11.409375,12.3,0.890625,20
Standard,L2_8192_hard,L2,8192,hard,0.4,13.24375,12.875,-0.36875,20
Standard,L2_8192_medium,L2,8192,medium,0.45,12.284375,12.2578125,-0.0265625,20
Standard,L3_12000_easy,L3,12000,easy,0.35,11.6484375,11.184375,-0.4640625,20
Standard,L3_12000_hard,L3,12000,hard,0.7,10.8765625,11.478125,0.6015625,20
