[Step 1] loss=12.008819, lr=0.00e+00
[Step 2] loss=12.092728, lr=5.00e-06
[Step 3] loss=12.141959, lr=1.00e-05
[Step 4] loss=12.081964, lr=9.92e-06
[Step 5] loss=11.914639, lr=9.70e-06
[Step 6] loss=11.931470, lr=9.33e-06
[Step 7] loss=11.940531, lr=8.83e-06
[Step 8] loss=11.973564, lr=8.21e-06
[Step 9] loss=11.930931, lr=7.50e-06
[Step 10] loss=11.840223, lr=6.71e-06
[Step 11] loss=12.021189, lr=5.87e-06
[Step 12] loss=11.710769, lr=5.00e-06
[Step 13] loss=11.935946, lr=4.13e-06
[Step 14] loss=11.983633, lr=3.29e-06
[Step 15] loss=11.853685, lr=2.50e-06
[Step 16] loss=11.872587, lr=1.79e-06
[Step 17] loss=11.612646, lr=1.17e-06
[Step 18] loss=11.730067, lr=6.70e-07
[Step 19] loss=11.891544, lr=3.02e-07
[Step 20] loss=11.878878, lr=7.60e-08
