d,L,k_center,x0_center,k_optimal,x0_optimal,score_optimal,score_standard,k_step,x0_step,num_samples
64,4096,0.28,29.0,0.24700000000000005,31.0,0.06711729615926743,0.16116510927677155,0.001,0.5,5000
64,8192,0.28,29.0,0.25000000000000006,31.0,0.06657695770263672,0.1557314544916153,0.001,0.5,5000
64,16384,0.28,29.0,0.25900000000000006,30.5,0.11125968396663666,0.20181655138731003,0.001,0.5,5000
64,32768,0.26,29.0,0.24500000000000005,31.0,0.11426656693220139,0.20267850384116173,0.001,0.5,5000
64,65536,0.26,29.0,0.24300000000000005,31.0,0.11413505673408508,0.2046402372419834,0.001,0.5,5000
64,131072,0.26,29.0,0.25700000000000006,31.0,0.11564327776432037,0.20576411709189416,0.001,0.5,5000
128,4096,0.1399999999999999,58.0,0.12499999999999993,63.0,0.05770232155919075,0.16308289766311646,0.001,0.5,5000
128,8192,0.1399999999999999,58.0,0.12499999999999993,63.0,0.05722859874367714,0.15598351508378983,0.001,0.5,5000
128,16384,0.1399999999999999,58.0,0.12999999999999995,62.0,0.08967278897762299,0.19029910564422609,0.001,0.5,5000
128,32768,0.1399999999999999,58.0,0.11899999999999993,63.0,0.09106330573558807,0.18950569108128548,0.001,0.5,5000
128,65536,0.12,58.0,0.12200000000000004,63.0,0.09187036752700806,0.1909956194460392,0.001,0.5,5000
128,131072,0.1399999999999999,58.0,0.12799999999999995,63.0,0.09121270477771759,0.1916980877518654,0.001,0.5,5000
256,4096,0.06,116.0,0.06500000000000004,121.0,0.055989086627960205,0.16443808525800707,0.001,0.5,5000
256,8192,0.06,116.0,0.06600000000000004,121.0,0.05472975969314575,0.15632814913988113,0.001,0.5,5000
256,16384,0.06,116.0,0.06700000000000005,121.0,0.07856137305498123,0.18428062088787556,0.001,0.5,5000
256,32768,0.06,116.0,0.06500000000000004,120.0,0.0790209099650383,0.18111880123615265,0.001,0.5,5000
256,65536,0.06,116.0,0.06600000000000004,120.0,0.0789850652217865,0.18156675882637502,0.001,0.5,5000
256,131072,0.06,116.0,0.06600000000000004,121.0,0.0794043019413948,0.18169246092438698,0.001,0.5,5000
