method,context_length,position_ratio,repeat,correct,status,pred_digits,passkey,generated_text
Original,4096,0.1,0,1,ok,93810938,93810,93810. Remember it. 938
Original,4096,0.1,1,1,ok,24592245,24592,24592. Remember it. 245
Original,4096,0.1,2,1,ok,13278132,13278,13278. Remember it. 132
Original,4096,0.1,3,1,ok,46048460,46048,46048. Remember it. 460
Original,4096,0.1,4,1,ok,42098420,42098,42098. Remember it. 420
Original,4096,0.1,5,1,ok,39256392,39256,39256. Remember it. 392
Original,4096,0.1,6,1,ok,28289282,28289,28289. Remember it. 282
Original,4096,0.1,7,1,ok,23434234,23434,23434. Remember it. 234
Original,4096,0.1,8,1,ok,98696986,98696,98696. Remember it. 986
Original,4096,0.1,9,1,ok,81482814,81482,81482. Remember it. 814
Original,4096,0.3,0,1,ok,21395213,21395,21395. Remember it. 213
Original,4096,0.3,1,1,ok,87397873,87397,87397. Remember it. 873
Original,4096,0.3,2,1,ok,65302653,65302,65302. Remember it. 653
Original,4096,0.3,3,1,ok,14165141,14165,14165. Remember it. 141
Original,4096,0.3,4,1,ok,13905139,13905,13905. Remember it. 139
Original,4096,0.3,5,1,ok,22280222,22280,22280. Remember it. 222
Original,4096,0.3,6,1,ok,38657386,38657,38657. Remember it. 386
Original,4096,0.3,7,1,ok,40495404,40495,40495. Remember it. 404
Original,4096,0.3,8,1,ok,76237762,76237,76237. Remember it. 762
Original,4096,0.3,9,1,ok,88907889,88907,88907. Remember it. 889
Original,4096,0.5,0,1,ok,1347813478,13478,13478. 13478 is the
Original,4096,0.5,1,1,ok,83563835,83563,83563. Remember it. 835
Original,4096,0.5,2,1,ok,36062360,36062,36062. Remember it. 360
Original,4096,0.5,3,1,ok,95181951,95181,95181. Remember it. 951
Original,4096,0.5,4,1,ok,8142681426,81426,81426. 81426 is the
Original,4096,0.5,5,1,ok,6498764987,64987,64987. 64987 is the
Original,4096,0.5,6,1,ok,38893388,38893,38893. Remember it. 388
Original,4096,0.5,7,1,ok,68878688,68878,68878. Remember it. 688
Original,4096,0.5,8,1,ok,87236872,87236,87236. Remember it. 872
Original,4096,0.5,9,1,ok,46463464,46463,46463. Remember it. 464
Original,4096,0.7,0,1,ok,1085110851,10851,10851. 10851 is the
Original,4096,0.7,1,1,ok,30926309,30926,30926. Remember it. 309
Original,4096,0.7,2,1,ok,6539265392,65392,65392. 65392 is the
Original,4096,0.7,3,1,ok,54597545,54597,54597. Remember it. 545
Original,4096,0.7,4,1,ok,4642146421,46421,46421. 46421 is the
Original,4096,0.7,5,1,ok,30379303,30379,30379. Remember it. 303
Original,4096,0.7,6,1,ok,38221382,38221,38221. Remember it. 382
Original,4096,0.7,7,1,ok,54118541,54118,54118. Remember it. 541
Original,4096,0.7,8,1,ok,23396233,23396,23396. Remember it. 233
Original,4096,0.7,9,1,ok,22156221,22156,22156. Remember it. 221
Original,4096,0.9,0,1,ok,59797597,59797,59797. Remember it. 597
Original,4096,0.9,1,1,ok,22676226,22676,22676. Remember it. 226
Original,4096,0.9,2,1,ok,57052570,57052,57052. Remember it. 570
Original,4096,0.9,3,1,ok,55082550,55082,55082. Remember it. 550
Original,4096,0.9,4,1,ok,89131891,89131,89131. Remember it. 891
Original,4096,0.9,5,1,ok,44671446,44671,44671. Remember it. 446
Original,4096,0.9,6,1,ok,15695156,15695,15695. Remember it. 156
Original,4096,0.9,7,1,ok,70217702,70217,70217. Remember it. 702
Original,4096,0.9,8,1,ok,80284802,80284,80284. Remember it. 802
Original,4096,0.9,9,1,ok,26361263,26361,26361. Remember it. 263
Original,8192,0.1,0,1,ok,5961559615,59615,59615. 59615 is the
Original,8192,0.1,1,1,ok,2032820328,20328,20328. 20328 is the
Original,8192,0.1,2,1,ok,8235782357,82357,82357. 82357 is the
Original,8192,0.1,3,1,ok,4842748427,48427,48427. 48427 is the
Original,8192,0.1,4,1,ok,92397,92397,92397.  The pass key is
Original,8192,0.1,5,1,ok,9107091070,91070,91070. 91070 is the
Original,8192,0.1,6,1,ok,5740057400,57400,57400. 57400 is the
Original,8192,0.1,7,1,ok,8567485674,85674,85674. 85674 is the
Original,8192,0.1,8,1,ok,3520335203,35203,35203. 35203 is the
Original,8192,0.1,9,1,ok,1911619116,19116,19116. 19116 is the
Original,8192,0.3,0,1,ok,1600616006,16006,16006. 16006 is the
Original,8192,0.3,1,1,ok,9667396673,96673,96673. 96673 is the
Original,8192,0.3,2,1,ok,3987139871,39871,39871. 39871 is the
Original,8192,0.3,3,1,ok,4793047930,47930,47930. 47930 is the
Original,8192,0.3,4,1,ok,2045820458,20458,20458. 20458 is the
Original,8192,0.3,5,1,ok,4051240512,40512,40512. 40512 is the
Original,8192,0.3,6,1,ok,2323823238,23238,23238. 23238 is the
Original,8192,0.3,7,1,ok,5982359823,59823,59823. 59823 is the
Original,8192,0.3,8,1,ok,4643446434,46434,46434. 46434 is the
Original,8192,0.3,9,1,ok,6942969429,69429,69429. 69429 is the
Original,8192,0.5,0,1,ok,93320,93320,93320.  yellow.  The
Original,8192,0.5,1,1,ok,57819,57819,57819.  yellow.  The
Original,8192,0.5,2,1,ok,31319,31319,31319.  yellow.  The
Original,8192,0.5,3,1,ok,58520,58520,58520.  yellow.  The
Original,8192,0.5,4,1,ok,56566,56566,56566.  yellow.  The
Original,8192,0.5,5,1,ok,37460,37460,37460.  yellow.  The
Original,8192,0.5,6,1,ok,97841,97841,97841. Remember it.  yellow
Original,8192,0.5,7,1,ok,44993,44993,44993.  yellow.  The
Original,8192,0.5,8,1,ok,99593,99593,99593.  yellow.  The
Original,8192,0.5,9,1,ok,94939,94939,94939.  yellow.  The
Original,8192,0.7,0,1,ok,19358193,19358,19358. Remember it. 193
Original,8192,0.7,1,1,ok,89840898,89840,89840. Remember it. 898
Original,8192,0.7,2,1,ok,93227932,93227,93227. Remember it. 932
Original,8192,0.7,3,1,ok,3243132431,32431,32431. 32431 is the
Original,8192,0.7,4,1,ok,8001080010,80010,80010. 80010 is the
Original,8192,0.7,5,1,ok,42087420,42087,42087. Remember it. 420
Original,8192,0.7,6,1,ok,3141731417,31417,31417. 31417 is the
Original,8192,0.7,7,1,ok,70589705,70589,70589. Remember it. 705
Original,8192,0.7,8,1,ok,59735597,59735,59735. Remember it. 597
Original,8192,0.7,9,1,ok,4538245382,45382,45382. 45382 is the
