stage,run_id,config_id,tier,seq_len,num_heads,head_dim,tau,theory_tau,seed,train_tokens,eval_lengths,passkey_lengths,passkey_trials,completed_at,train_time_sec,eval_time_sec,inv_freq_hash,ppl_json,passkey_summary_json
pilot,pilot_L256_H4_Dh128_tau0.00_seed42,L256_H4_Dh128,50m,256,4,128,0.0,8.0,42,8388608,"[256,512,1024,2048]","[512,1024]",8,2026-03-06 19:00:47,651.59,4.78,8af61aed5474208f,"{""1024"":521.1342,""2048"":472.8989,""256"":369.1618,""512"":412.6685}","{""L=1024_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.0056,""retrieval_rate"":0.5,""trials"":8},""L=512_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.0427,""retrieval_rate"":0.625,""trials"":8}}"
pilot,pilot_L256_H4_Dh128_tau6.00_seed42,L256_H4_Dh128,50m,256,4,128,6.0,8.0,42,8388608,"[256,512,1024,2048]","[512,1024]",8,2026-03-06 19:12:52,716.53,4.44,9d665a76f4f85923,"{""1024"":527.2945,""2048"":482.5033,""256"":384.5109,""512"":423.0491}","{""L=1024_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.0854,""retrieval_rate"":0.75,""trials"":8},""L=512_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.0349,""retrieval_rate"":0.75,""trials"":8}}"
pilot,pilot_L256_H4_Dh128_tau8.00_seed42,L256_H4_Dh128,50m,256,4,128,8.0,8.0,42,8388608,"[256,512,1024,2048]","[512,1024]",8,2026-03-06 19:25:02,720.65,4.44,63fb3b705926604a,"{""1024"":497.2267,""2048"":452.7605,""256"":348.5226,""512"":392.88}","{""L=1024_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.0548,""retrieval_rate"":0.75,""trials"":8},""L=512_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":-0.0222,""retrieval_rate"":0.375,""trials"":8}}"
pilot,pilot_L256_H4_Dh128_tau10.00_seed42,L256_H4_Dh128,50m,256,4,128,10.0,8.0,42,8388608,"[256,512,1024,2048]","[512,1024]",8,2026-03-06 19:36:52,701.71,4.24,6e17f38d8890418c,"{""1024"":485.8655,""2048"":439.3788,""256"":338.954,""512"":376.39}","{""L=1024_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.0413,""retrieval_rate"":0.75,""trials"":8},""L=512_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.0706,""retrieval_rate"":0.75,""trials"":8}}"
pilot,pilot_L256_H4_Dh128_tau12.00_seed42,L256_H4_Dh128,50m,256,4,128,12.0,8.0,42,8388608,"[256,512,1024,2048]","[512,1024]",8,2026-03-06 19:47:49,646.95,4.2,6c71d022b8a1b7a6,"{""1024"":530.1967,""2048"":479.4098,""256"":361.8431,""512"":412.0875}","{""L=1024_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.109,""retrieval_rate"":0.75,""trials"":8},""L=512_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.1449,""retrieval_rate"":1.0,""trials"":8}}"
pilot,pilot_L256_H8_Dh64_tau0.00_seed42,L256_H8_Dh64,50m,256,8,64,0.0,4.0,42,8388608,"[256,512,1024,2048]","[512,1024]",8,2026-03-06 19:59:19,673.23,4.98,88654f1fe2a414d3,"{""1024"":528.9608,""2048"":492.083,""256"":379.8216,""512"":425.9049}","{""L=1024_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":-0.0298,""retrieval_rate"":0.5,""trials"":8},""L=512_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.1719,""retrieval_rate"":0.75,""trials"":8}}"
pilot,pilot_L256_H8_Dh64_tau3.00_seed42,L256_H8_Dh64,50m,256,8,64,3.0,4.0,42,8388608,"[256,512,1024,2048]","[512,1024]",8,2026-03-06 20:11:05,693.9,4.84,514ce7a3f617989a,"{""1024"":530.3688,""2048"":487.6103,""256"":380.555,""512"":421.9606}","{""L=1024_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.0163,""retrieval_rate"":0.625,""trials"":8},""L=512_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.1222,""retrieval_rate"":0.875,""trials"":8}}"
pilot,pilot_L256_H8_Dh64_tau4.00_seed42,L256_H8_Dh64,50m,256,8,64,4.0,4.0,42,8388608,"[256,512,1024,2048]","[512,1024]",8,2026-03-06 20:22:50,692.91,4.77,78ebc7bc32db94cc,"{""1024"":507.6234,""2048"":471.0178,""256"":372.8532,""512"":401.4768}","{""L=1024_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.0713,""retrieval_rate"":0.5,""trials"":8},""L=512_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.1315,""retrieval_rate"":0.625,""trials"":8}}"
pilot,pilot_L256_H8_Dh64_tau5.00_seed42,L256_H8_Dh64,50m,256,8,64,5.0,4.0,42,8388608,"[256,512,1024,2048]","[512,1024]",8,2026-03-06 20:34:28,686.42,4.74,1749296c29fa0662,"{""1024"":528.2096,""2048"":480.0364,""256"":373.2342,""512"":415.7604}","{""L=1024_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.0638,""retrieval_rate"":0.5,""trials"":8},""L=512_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.0321,""retrieval_rate"":0.75,""trials"":8}}"
pilot,pilot_L256_H8_Dh64_tau6.00_seed42,L256_H8_Dh64,50m,256,8,64,6.0,4.0,42,8388608,"[256,512,1024,2048]","[512,1024]",8,2026-03-06 20:46:27,707.41,5.18,59728d815a17437b,"{""1024"":532.1021,""2048"":485.9935,""256"":381.5913,""512"":428.316}","{""L=1024_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.0649,""retrieval_rate"":0.625,""trials"":8},""L=512_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.0359,""retrieval_rate"":0.75,""trials"":8}}"
pilot,pilot_L256_H16_Dh32_tau0.00_seed42,L256_H16_Dh32,50m,256,16,32,0.0,2.0,42,8388608,"[256,512,1024,2048]","[512,1024]",8,2026-03-06 20:58:57,727.12,6.27,692c6b49afbbd659,"{""1024"":597.2532,""2048"":577.8112,""256"":439.0611,""512"":478.6529}","{""L=1024_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.0591,""retrieval_rate"":0.75,""trials"":8},""L=512_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.0786,""retrieval_rate"":0.625,""trials"":8}}"
pilot,pilot_L256_H16_Dh32_tau1.50_seed42,L256_H16_Dh32,50m,256,16,32,1.5,2.0,42,8388608,"[256,512,1024,2048]","[512,1024]",8,2026-03-06 21:11:22,727.88,5.75,b480952fb40bfcf6,"{""1024"":542.0448,""2048"":521.7806,""256"":373.8819,""512"":418.1886}","{""L=1024_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":-0.0029,""retrieval_rate"":0.625,""trials"":8},""L=512_d=0.5"":{""ar_exact_match_rate"":0.0,""mean_nll_gap"":0.1712,""retrieval_rate"":0.875,""trials"":8}}"
