[init] device=cuda  dtype=torch.bfloat16  autocast=True
########################################################################
  Phase 17C: 454M staged continuation 1024 → 2048
  Strategy: TRAIN ALL FIRST, then EVAL ALL (avoids compile OOM)
########################################################################
  device=cuda dtype=torch.bfloat16 autocast=True
  L_train=2048 tau*=1.414214 tokens=500M seed=42
  lr=2.0e-04 micro_bs=5 grad_accum=4 effective_bs=20
  passkey_mix=5.00%
  dataset=fineweb-edu
  eval_lengths=[2048, 4096, 8192, 16384, 24576, 32768, 40960, 49152]
  geo_init: /root/autodl-tmp/evq_phase17b/454m_geo_seed42_continue1024/model.pt
  evq_init: /root/autodl-tmp/evq_phase17b/454m_evq_seed42_continue1024/model.pt

########################################################################
  PHASE 1: TRAINING (all models)
########################################################################

  Loading training data...
  [data] loading stage-3 cache: /root/autodl-tmp/evq_phase17c_2048_continue/data/train_rechunk_stage3_500000000_2048.pt
  [data] cached: 244140 chunks (500.0M tokens)
  train_data: torch.Size([244140, 2048]) (500M tokens)
  Loading validation data...
  Using cached val: /root/autodl-tmp/evq_phase17/val_proof-pile-2_5000000.pt
  [passkey-train] loading cached mixed tensor: /root/autodl-tmp/evq_phase17c_2048_continue/data/mixed_fineweb-edu_seed42_pk5_500000000_2048.pt
  [passkey-train] cached shape=(244140, 2048)

========================================================================
  TRAIN: geo_454m_1024_to_2048_continue  |  init=/root/autodl-tmp/evq_phase17b/454m_geo_seed42_continue1024/model.pt
  Continue @L=2048, tokens=500M, seed=42, tau=1.414214
========================================================================
  Model params: 454.2M
  torch.compile enabled (reduce-overhead)
  inv_freq set: max=1.00000000 min=0.00000301
  checkpoint_steps=[3051, 6103, 9155, 12207]
  Train cfg: lr=2.0e-04, min_lr=2.0e-05, micro_bs=5, grad_accum=4, effective_bs=20, chunks=244140, steps=12207, warmup=244, gpu_chunks=8
  [gpu-chunk 1/8] loaded (30517, 2048) (0.5GB)
    step 1/12207  loss=1.0102  lr=8.20e-07  GPU=23.4GB  ETA=675min
    step 51/12207  loss=0.7054  lr=4.18e-05  GPU=27.0GB  ETA=189min
    step 101/12207  loss=0.7147  lr=8.28e-05  GPU=27.0GB  ETA=175min
    step 151/12207  loss=0.7948  lr=1.24e-04  GPU=27.0GB  ETA=170min
    step 201/12207  loss=0.7096  lr=1.65e-04  GPU=27.0GB  ETA=167min
    step 251/12207  loss=0.9149  lr=2.00e-04  GPU=27.0GB  ETA=166min
    step 301/12207  loss=0.8428  lr=2.00e-04  GPU=27.0GB  ETA=164min
    step 351/12207  loss=0.7616  lr=2.00e-04  GPU=27.0GB  ETA=163min
    step 401/12207  loss=0.8543  lr=2.00e-04  GPU=27.0GB  ETA=162min
    step 451/12207  loss=0.9436  lr=2.00e-04  GPU=27.0GB  ETA=161min
    step 501/12207  loss=0.8038  lr=2.00e-04  GPU=27.0GB  ETA=160min
    step 551/12207  loss=0.6658  lr=2.00e-04  GPU=27.0GB  ETA=159min
    step 601/12207  loss=0.7976  lr=2.00e-04  GPU=27.0GB  ETA=158min
    step 651/12207  loss=0.8928  lr=1.99e-04  GPU=27.0GB  ETA=157min
    step 701/12207  loss=0.8559  lr=1.99e-04  GPU=27.0GB  ETA=156min
    step 751/12207  loss=0.7453  lr=1.99e-04  GPU=27.0GB  ETA=156min
    step 801/12207  loss=0.7031  lr=1.99e-04  GPU=27.0GB  ETA=155min
    step 851/12207  loss=0.9548  lr=1.99e-04  GPU=27.0GB  ETA=154min
    step 901/12207  loss=0.8266  lr=1.99e-04  GPU=27.0GB  ETA=153min
    step 951/12207  loss=0.8130  lr=1.98e-04  GPU=27.0GB  ETA=153min
    step 1001/12207  loss=0.7616  lr=1.98e-04  GPU=27.0GB  ETA=152min
    step 1051/12207  loss=0.6376  lr=1.98e-04  GPU=27.0GB  ETA=151min
    step 1101/12207  loss=0.8052  lr=1.98e-04  GPU=27.0GB  ETA=150min
    step 1151/12207  loss=0.6955  lr=1.97e-04  GPU=27.0GB  ETA=150min
    step 1201/12207  loss=0.6611  lr=1.97e-04  GPU=27.0GB  ETA=149min
    step 1251/12207  loss=0.7778  lr=1.97e-04  GPU=27.0GB  ETA=148min
    step 1301/12207  loss=0.7345  lr=1.97e-04  GPU=27.0GB  ETA=148min
    step 1351/12207  loss=0.6514  lr=1.96e-04  GPU=27.0GB  ETA=147min
    step 1401/12207  loss=0.7892  lr=1.96e-04  GPU=27.0GB  ETA=146min
    step 1451/12207  loss=0.6396  lr=1.96e-04  GPU=27.0GB  ETA=146min
    step 1501/12207  loss=1.0109  lr=1.95e-04  GPU=27.0GB  ETA=145min
  [gpu-chunk 2/8] loaded (30517, 2048) (0.5GB)
    step 1551/12207  loss=0.6792  lr=1.95e-04  GPU=27.0GB  ETA=144min
    step 1601/12207  loss=0.8052  lr=1.94e-04  GPU=27.0GB  ETA=143min
    step 1651/12207  loss=0.9246  lr=1.94e-04  GPU=27.0GB  ETA=143min
    step 1701/12207  loss=0.5731  lr=1.94e-04  GPU=27.0GB  ETA=142min
    step 1751/12207  loss=0.7962  lr=1.93e-04  GPU=27.0GB  ETA=141min
    step 1801/12207  loss=0.7441  lr=1.93e-04  GPU=27.0GB  ETA=141min
    step 1851/12207  loss=0.7587  lr=1.92e-04  GPU=27.0GB  ETA=140min
    step 1901/12207  loss=0.8946  lr=1.92e-04  GPU=27.0GB  ETA=139min
    step 1951/12207  loss=0.8312  lr=1.91e-04  GPU=27.0GB  ETA=139min
    step 2001/12207  loss=0.8373  lr=1.91e-04  GPU=27.0GB  ETA=138min
    step 2051/12207  loss=0.6835  lr=1.90e-04  GPU=27.0GB  ETA=137min
    step 2101/12207  loss=0.8356  lr=1.90e-04  GPU=27.0GB  ETA=137min
    step 2151/12207  loss=0.6732  lr=1.89e-04  GPU=27.0GB  ETA=136min
    step 2201/12207  loss=0.6768  lr=1.88e-04  GPU=27.0GB  ETA=135min
    step 2251/12207  loss=0.7635  lr=1.88e-04  GPU=27.0GB  ETA=134min
    step 2301/12207  loss=0.5843  lr=1.87e-04  GPU=27.0GB  ETA=134min
