p,method,collision_score
0.0,baseline,0.00784533714229487
0.0,pi,0.019340690428657985
0.0,yarn,0.019129261111073586
0.0,anchored_hybrid,0.008168571605804463
0.0,sigmoid_formula,0.013965072427338798
0.025,baseline,0.013961828004503195
0.025,pi,0.030727243964047374
0.025,yarn,0.026259889328073566
0.025,anchored_hybrid,0.014439227843655634
0.025,sigmoid_formula,0.019641488621194747
0.05,baseline,0.020078318866711527
0.05,pi,0.04211379749943675
0.05,yarn,0.03339051754507353
0.05,anchored_hybrid,0.0207098840815068
0.05,sigmoid_formula,0.02531790481505071
0.07500000000000001,baseline,0.026194809728919844
0.07500000000000001,pi,0.05350035103482614
0.07500000000000001,yarn,0.04052114576207351
0.07500000000000001,anchored_hybrid,0.02698054031935798
0.07500000000000001,sigmoid_formula,0.03099432100890665
0.1,baseline,0.032311300591128175
0.1,pi,0.0648869045702155
0.1,yarn,0.04765177397907349
0.1,anchored_hybrid,0.03325119655720915
0.1,sigmoid_formula,0.036670737202762614
0.125,baseline,0.038427791453336475
0.125,pi,0.0762734581056049
0.125,yarn,0.05478240219607344
0.125,anchored_hybrid,0.039521852795060305
0.125,sigmoid_formula,0.04234715339661857
0.15000000000000002,baseline,0.04454428231554482
0.15000000000000002,pi,0.08766001164099427
0.15000000000000002,yarn,0.06191303041307342
0.15000000000000002,anchored_hybrid,0.0457925090329115
0.15000000000000002,sigmoid_formula,0.048023569590474526
0.17500000000000002,baseline,0.050660773177753124
0.17500000000000002,pi,0.09904656517638365
0.17500000000000002,yarn,0.06904365863007339
0.17500000000000002,anchored_hybrid,0.05206316527076264
0.17500000000000002,sigmoid_formula,0.05369998578433049
0.2,baseline,0.05677726403996144
0.2,pi,0.11043311871177305
0.2,yarn,0.07617428684707335
0.2,anchored_hybrid,0.058333821508613826
0.2,sigmoid_formula,0.05937640197818645
0.225,baseline,0.0628937549021698
0.225,pi,0.1218196722471624
0.225,yarn,0.08330491506407338
0.225,anchored_hybrid,0.064604477746465
0.225,sigmoid_formula,0.06505281817204238
0.25,baseline,0.06901024576437806
