slot_zero_based,slot_one_based,mr_exponent,bm_exponent_intended,bm_exponent_realized,exponent_delta_to_mr,native_frequency,mr_frequency,bm_frequency,frequency_ratio_to_mr,native_right_log_gap,mr_right_log_gap,bm_right_log_gap
0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.20503694897144292,0.20503694897144292,0.20503694897144292
1,2,0.0,0.0,0.0,0.0,0.8146172165870667,0.8146172165870667,0.8146172165870667,1.0,0.20503684394049435,0.20503684394049435,0.20503684394049435
2,3,0.0,0.0,0.0,0.0,0.663601279258728,0.663601279258728,0.663601279258728,1.0,0.20503702130669577,0.20503702130669577,0.20503702130669577
3,4,0.0,0.0,0.0,0.0,0.5405809879302979,0.5405809879302979,0.5405809879302979,1.0,0.2050368443809461,0.2050368443809461,0.2050368443809461
4,5,0.0,0.0,0.0,0.0,0.44036662578582764,0.44036662578582764,0.44036662578582764,1.0,0.205036971886565,0.205036971886565,0.205036971886565
5,6,0.0,0.0,0.0,0.0,0.3587302267551422,0.3587302267551422,0.3587302267551422,1.0,0.2050368954577221,0.2050368954577221,0.2050368954577221
6,7,0.0,0.0,0.0,0.0,0.2922278344631195,0.2922278344631195,0.2922278344631195,1.0,0.20503699746011747,0.20503699746011747,0.20503699746011747
7,8,0.0,0.0,0.0,0.0,0.2380538135766983,0.2380538135766983,0.2380538135766983,1.0,0.20503682991047148,0.20503682991047148,0.20503682991047148
8,9,0.0,0.0,0.0,0.0,0.193922758102417,0.193922758102417,0.193922758102417,1.0,0.20503697926583286,0.20503697926583286,0.20503697926583286
9,10,0.0,0.0,0.0,0.0,0.1579728126525879,0.1579728126525879,0.1579728126525879,1.0,0.20503688055056388,0.20503688055056388,0.20503688055056388
10,11,0.0,0.0,0.0,0.0,0.12868738174438477,0.12868738174438477,0.12868738174438477,1.0,0.20503700838049008,0.20503700838049008,0.20503700838049008
11,12,0.0,0.0,0.0,0.0,0.10483095049858093,0.10483095049858093,0.10483095049858093,1.0,0.20503689239582162,0.20503689239582162,0.20503689239582162
12,13,0.0,0.0,0.0,0.0,0.08539710193872452,0.08539710193872452,0.08539710193872452,1.0,0.20503691535927415,0.20503691535927415,0.20503691535927415
13,14,0.0,0.0,0.0,0.0,0.06956595182418823,0.06956595182418823,0.06956595182418823,1.0,0.2050370038484164,0.2050370038484164,0.2050370038484164
14,15,0.0,0.0,0.0,0.0,0.05666961893439293,0.05666961893439293,0.05666961893439293,1.0,0.20503687408859533,0.2131438440868665,0.22692572366829472
15,16,0.005847942706570654,0.015789473684210527,0.015789467369698332,0.009941530977639872,0.046164050698280334,0.04579131305217743,0.045164551585912704,0.986312655731218,0.20503694321774907,0.22125088151472908,0.24638255493891836
16,17,0.017543826893737,0.0456140350877193,0.04561402186602416,0.0280702081939823,0.03760603070259094,0.03670245036482811,0.035301659256219864,0.9618338531982425,0.20503693207639245,0.22935794806186618,0.2634072389268946
17,18,0.03508773146954909,0.08771929824561403,0.08771929798021731,0.05263156677606494,0.030634520575404167,0.02918005920946598,0.027126815170049667,0.929635371036182,0.20503691831510318,0.23746485028984393,0.2779997710767203
18,19,0.05847953979267061,0.14035087719298245,0.14035087090436577,0.08187133740031184,0.02495540864765644,0.023012112826108932,0.0205430556088686,0.8927061919130256,0.20503698807298532,0.245571917220671,0.2901603495432636
19,20,0.0877193104247465,0.20175438596491227,0.20175439663285025,0.11403507554016577,0.020329104736447334,0.018001386895775795,0.015369155444204807,0.8537761858677307,0.2050368181217328,0.25367872529659435,0.29988854859242203
20,21,0.12280702955502353,0.27017543859649124,0.2701754572177503,0.1473684090414677,0.016560440883040428,0.01396801508963108,0.011387019418179989,0.8152210135162976,0.20503698030811265,0.2617858895727946,0.3071849259025022
