slot_zero_based,slot_one_based,mr_exponent,bm_exponent_intended,bm_exponent_realized,exponent_delta_to_mr,native_frequency,mr_frequency,bm_frequency,frequency_ratio_to_mr,native_right_log_gap,mr_right_log_gap,bm_right_log_gap,p2_exponent,p2_frequency,bm_exponent_delta_to_p2
0,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2158673114902538,0.2158673114902538,0.2158673114902538,0.0,1.0,0.0
1,2,0.0,0.0,0.0,0.0,0.8058422207832336,0.8058422207832336,0.8058422207832336,1.0,0.21586738421114274,0.21586738421114274,0.21586738421114274,0.0,0.8058422207832336,0.0
2,3,0.0,0.0,0.0,0.0,0.6493816375732422,0.6493816375732422,0.6493816375732422,1.0,0.21586727965071825,0.21586727965071825,0.21586727965071825,0.0,0.6493816375732422,0.0
3,4,0.0,0.0,0.0,0.0,0.5232991576194763,0.5232991576194763,0.5232991576194763,1.0,0.21586740970982818,0.21586740970982818,0.21586740970982818,0.0,0.5232991576194763,0.0
4,5,0.0,0.0,0.0,0.0,0.4216965138912201,0.4216965138912201,0.4216965138912201,1.0,0.215867379869122,0.215867379869122,0.215867379869122,0.0,0.4216965138912201,0.0
5,6,0.0,0.0,0.0,0.0,0.33982083201408386,0.33982083201408386,0.33982083201408386,1.0,0.21586729987475825,0.21586729987475825,0.21586729987475825,0.0,0.33982083201408386,0.0
6,7,0.0,0.0,0.0,0.0,0.2738419771194458,0.2738419771194458,0.2738419771194458,1.0,0.21586744654135542,0.21586744654135542,0.21586744654135542,0.0,0.2738419771194458,0.0
7,8,0.0,0.0,0.0,0.0,0.22067339718341827,0.22067339718341827,0.22067339718341827,1.0,0.21586731746754959,0.21586731746754959,0.21586731746754959,0.0,0.22067339718341827,0.0
8,9,0.0,0.0,0.0,0.0,0.17782793939113617,0.17782793939113617,0.17782793939113617,1.0,0.21586729854328637,0.21586729854328637,0.21586729854328637,0.0,0.17782793939113617,0.0
9,10,0.0,0.0,0.0,0.0,0.14330126345157623,0.14330126345157623,0.14330126345157623,1.0,0.2158673606791589,0.2158673606791589,0.2158673606791589,0.0,0.14330126345157623,0.0
10,11,0.0,0.0,0.0,0.0,0.11547820270061493,0.11547820270061493,0.11547820270061493,1.0,0.21586742973693235,0.21586742973693235,0.21586742973693235,0.0,0.11547820270061493,0.0
11,12,0.0,0.0,0.0,0.0,0.09305720031261444,0.09305720031261444,0.09305720031261444,1.0,0.21586738156125254,0.21586738156125254,0.21586738156125254,0.0,0.09305720031261444,0.0
12,13,0.0,0.0,0.0,0.0,0.07498941570520401,0.07498941570520401,0.07498941570520401,1.0,0.21586720305871354,0.21586720305871354,0.21586720305871354,7.166955573873607e-08,0.07498940825462341,-7.166955573873607e-08
13,14,0.0,0.0,0.0,0.0,0.0604296438395977,0.0604296438395977,0.0604296438395977,1.0,0.21586742967505826,0.21586742967505826,0.21586742967505826,8.89374457941871e-08,0.060429636389017105,-8.89374457941871e-08
14,15,0.0,0.0,0.0,0.0,0.04869675263762474,0.04869675263762474,0.04869675263762474,1.0,0.21586732386305665,0.21586732386305665,0.21586732386305665,2.759146439857692e-07,0.04869673401117325,-2.759146439857692e-07
15,16,0.0,0.0,0.0,0.0,0.03924189880490303,0.03924189880490303,0.03924189880490303,1.0,0.2158673195982634,0.2158673195982634,0.2158673195982634,6.163073486012427e-07,0.039241865277290344,-6.163073486012427e-07
16,17,0.0,0.0,0.0,0.0,0.03162277862429619,0.03162277862429619,0.03162277862429619,1.0,0.21586741579604163,0.21586741579604163,0.21586741579604163,1.3596434312850407e-06,0.03162271901965141,-1.3596434312850407e-06
17,18,0.0,0.0,0.0,0.0,0.025482967495918274,0.025482967495918274,0.025482967495918274,1.0,0.2158673111671226,0.2158673111671226,0.2158673111671226,3.216292010932731e-06,0.02548285387456417,-3.216292010932731e-06
18,19,0.0,0.0,0.0,0.0,0.02053525112569332,0.02053525112569332,0.02053525112569332,1.0,0.21586735572641855,0.21586735572641855,0.21586735572641855,7.655310617019465e-06,0.02053503319621086,-7.655310617019465e-06
19,20,0.0,0.0,0.0,0.0,0.016548171639442444,0.016548171639442444,0.016548171639442444,1.0,0.21586734568826776,0.21586734568826776,0.21586734568826776,1.7781734435186666e-05,0.016547763720154762,-1.7781734435186666e-05
20,21,0.0,0.0,0.0,0.0,0.01333521492779255,0.01333521492779255,0.01333521492779255,1.0,0.21586737163473452,0.21586737163473452,0.21586737163473452,4.151302317706148e-05,0.013334447517991066,-4.151302317706148e-05
21,22,0.0,0.0,0.0,0.0,0.010746078565716743,0.010746078565716743,0.010746078565716743,1.0,0.21586739175274738,0.21586739175274738,0.21586739175274738,9.909546020013291e-05,0.010744602419435978,-9.909546020013291e-05
22,23,0.0,0.0,0.0,0.0,0.00865964312106371,0.00865964312106371,0.00865964312106371,1.0,0.2158673194942719,0.2158673194942719,0.2158673194942719,0.0002313779494949044,0.008656865917146206,-0.0002313779494949044
23,24,0.0,0.0,0.0,0.0,0.006978305988013744,0.006978305988013744,0.006978305988013744,1.0,0.21586737281166749,0.22492811415038755,0.24018836018356024,0.0005593577310363921,0.006972896866500378,-0.0005593577310363921
24,25,0.006535943298074508,0.017543859649122806,0.01754388393547644,0.011007916351048298,0.005623413249850273,0.005572691094130278,0.005488296039402485,0.9848556014854859,0.21586732757367402,0.23398880511541895,0.26164788432541236,0.0013654150825676864,0.005612778943032026,0.01617844456655512
25,26,0.019607826189602676,0.05056759545923633,0.05056757503291077,0.030959769269633654,0.004531583748757839,0.004410064313560724,0.004224791657179594,0.9579886724528197,0.21586733485612894,0.243049617861022,0.28024638283414943,0.0031497664503545952,0.004511839710175991,0.04741782900888174
26,27,0.03921569863520241,0.09700722394220847,0.09700724166043206,0.057791525307006056,0.003651741426438093,0.0034585162065923214,0.0031922422349452972,0.9230091878304701,0.21586739325425944,0.25211032483582213,0.2959834337164383,0.00841115949220986,0.0036094081588089466,0.08859606444999861
