slot_zero_based,slot_one_based,x,psi,native_frequency,mr_frequency,candidate_frequency,mr_exponent,candidate_exponent_intended,candidate_exponent_realized,exponent_delta_to_mr,frequency_ratio_to_mr,frequency_ratio_to_native
0,1,0.0,-0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1,2,0.0,-0.0,0.8146172165870667,0.8146172165870667,0.8146172165870667,0.0,0.0,0.0,0.0,1.0,1.0
2,3,0.0,-0.0,0.663601279258728,0.663601279258728,0.663601279258728,0.0,0.0,0.0,0.0,1.0,1.0
3,4,0.0,-0.0,0.5405809879302979,0.5405809879302979,0.5405809879302979,0.0,0.0,0.0,0.0,1.0,1.0
4,5,0.0,-0.0,0.44036662578582764,0.44036662578582764,0.44036662578582764,0.0,0.0,0.0,0.0,1.0,1.0
5,6,0.0,-0.0,0.3587302267551422,0.3587302267551422,0.3587302267551422,0.0,0.0,0.0,0.0,1.0,1.0
6,7,0.0,-0.0,0.2922278344631195,0.2922278344631195,0.2922278344631195,0.0,0.0,0.0,0.0,1.0,1.0
7,8,0.0,-0.0,0.2380538135766983,0.2380538135766983,0.2380538135766983,0.0,0.0,0.0,0.0,1.0,1.0
8,9,0.0,-0.0,0.193922758102417,0.193922758102417,0.193922758102417,0.0,0.0,0.0,0.0,1.0,1.0
9,10,0.0,-0.0,0.1579728126525879,0.1579728126525879,0.1579728126525879,0.0,0.0,0.0,0.0,1.0,1.0
10,11,0.0,-0.0,0.12868738174438477,0.12868738174438477,0.12868738174438477,0.0,0.0,0.0,0.0,1.0,1.0
11,12,0.0,-0.0,0.10483095049858093,0.10483095049858093,0.10483095049858093,0.0,0.0,0.0,0.0,1.0,1.0
12,13,0.0,-0.0,0.08539710193872452,0.08539710193872452,0.08539710193872452,0.0,0.0,0.0,0.0,1.0,1.0
13,14,0.0,-0.0,0.06956595182418823,0.06956595182418823,0.06956595182418823,0.0,0.0,0.0,0.0,1.0,1.0
14,15,0.0,-0.0,0.05666961893439293,0.05666961893439293,0.05666961893439293,0.0,0.0,0.0,0.0,1.0,1.0
15,16,0.05555555555555555,-0.046639231824417,0.046164050698280334,0.04579131305217743,0.052612826228141785,0.005847942706570654,-0.09432235411147828,-0.09432236511122537,-0.10017029681804894,1.1489695909831523,1.1396925839980865
16,17,0.1111111111111111,-0.07681755829903977,0.03760603070259094,0.03670245036482811,0.046134598553180695,0.017543826893737,-0.1474425443359907,-0.14744253211781383,-0.1649863712297277,1.2569896040889792,1.2267872384096672
17,18,0.16666666666666666,-0.0925925925925926,0.030634520575404167,0.02918005920946598,0.03844291716814041,0.03508773146954909,-0.16377976956628337,-0.16377977143622915,-0.19886750103583245,1.3174379425408969,1.2548888132104619
18,19,0.2222222222222222,-0.09602194787379972,0.02495540864765644,0.023012112826108932,0.030628174543380737,0.05847953979267061,-0.147753424244489,-0.14775342786302226,-0.20623296403715963,1.3309588204621883,1.227316089101872
19,20,0.2777777777777778,-0.08916323731138545,0.020329104736447334,0.018001386895775795,0.023474788293242455,0.0877193104247465,-0.10378272760975883,-0.10378273229702126,-0.19150203803450533,1.3040544280924848,1.1547379285795767
20,21,0.3333333333333333,-0.07407407407407408,0.016560440883040428,0.01396801508963108,0.017414813861250877,0.12280702955502353,-0.036286971273642485,-0.03628698549301759,-0.159094000828666,1.2467636775520432,1.0515911976163277
