slot_zero_based,slot_one_based,x,psi,native_frequency,mr_frequency,candidate_frequency,mr_exponent,candidate_exponent_intended,candidate_exponent_realized,exponent_delta_to_mr,frequency_ratio_to_mr,frequency_ratio_to_native,p2_frequency,p2_exponent,p2_exponent_delta_to_mr,candidate_exponent_delta_to_p2
0,1,0.0,-0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1,2,0.0,-0.0,0.8058422207832336,0.8058422207832336,0.8058422207832336,0.0,0.0,0.0,0.0,1.0,1.0,0.8058422207832336,0.0,0.0,0.0
2,3,0.0,-0.0,0.6493816375732422,0.6493816375732422,0.6493816375732422,0.0,0.0,0.0,0.0,1.0,1.0,0.6493816375732422,0.0,0.0,0.0
3,4,0.0,-0.0,0.5232991576194763,0.5232991576194763,0.5232991576194763,0.0,0.0,0.0,0.0,1.0,1.0,0.5232991576194763,0.0,0.0,0.0
4,5,0.0,-0.0,0.4216965138912201,0.4216965138912201,0.4216965138912201,0.0,0.0,0.0,0.0,1.0,1.0,0.4216965138912201,0.0,0.0,0.0
5,6,0.0,-0.0,0.33982083201408386,0.33982083201408386,0.33982083201408386,0.0,0.0,0.0,0.0,1.0,1.0,0.33982083201408386,0.0,0.0,0.0
6,7,0.0,-0.0,0.2738419771194458,0.2738419771194458,0.2738419771194458,0.0,0.0,0.0,0.0,1.0,1.0,0.2738419771194458,0.0,0.0,0.0
7,8,0.0,-0.0,0.22067339718341827,0.22067339718341827,0.22067339718341827,0.0,0.0,0.0,0.0,1.0,1.0,0.22067339718341827,0.0,0.0,0.0
8,9,0.0,-0.0,0.17782793939113617,0.17782793939113617,0.17782793939113617,0.0,0.0,0.0,0.0,1.0,1.0,0.17782793939113617,0.0,0.0,0.0
9,10,0.0,-0.0,0.14330126345157623,0.14330126345157623,0.14330126345157623,0.0,0.0,0.0,0.0,1.0,1.0,0.14330126345157623,0.0,0.0,0.0
10,11,0.0,-0.0,0.11547820270061493,0.11547820270061493,0.11547820270061493,0.0,0.0,0.0,0.0,1.0,1.0,0.11547820270061493,0.0,0.0,0.0
