rope_base,train_length,head_dim,arm,delta_in,delta_ood
500000.0,256,32,anchored_cosh_m075,0.0060175088223246576,-0.01910882999176966
500000.0,256,32,anchored_cosh_rule,0.0010937174088295383,-0.027831282401564
500000.0,256,32,anchored_cosh_m125,0.01175126950142206,-0.032510042072108725
500000.0,256,32,anchored_exp_rule,0.0009998419741844937,-0.02343514879048314
500000.0,256,64,anchored_cosh_m075,-0.01213245048953985,-0.009620311544574989
500000.0,256,64,anchored_cosh_rule,-0.02096151534704216,-0.01559744567993171
500000.0,256,64,anchored_cosh_m125,-0.016447388025157217,-0.012492456158806379
500000.0,256,64,anchored_exp_rule,-0.026735691371841952,-0.018763678100375714
500000.0,256,128,anchored_cosh_m075,-0.01255768069056895,-0.011127571879253098
500000.0,256,128,anchored_cosh_rule,0.007691521023901397,0.005171179144218978
500000.0,256,128,anchored_cosh_m125,0.00804803087769527,0.005649243678915876
500000.0,256,128,anchored_exp_rule,0.01738459930930632,0.010028936087365103
500000.0,1024,32,anchored_cosh_m075,-0.02999029971875237,-0.011356783146209063
500000.0,1024,32,anchored_cosh_rule,-0.013140939382608371,-0.013359748189010348
500000.0,1024,32,anchored_cosh_m125,-0.02707061202623695,-0.013632221037338374
500000.0,1024,32,anchored_exp_rule,-0.01344412882568117,-0.011035927994833253
500000.0,1024,64,anchored_cosh_m075,-0.0001514099070538677,0.0011748242336189207
500000.0,1024,64,anchored_cosh_rule,-0.001957165476761169,0.0035739751896170326
500000.0,1024,64,anchored_cosh_m125,-0.009239109340539287,-0.0029182379662593405
500000.0,1024,64,anchored_exp_rule,-0.01557476549984275,-0.00917274710825744
500000.0,1024,128,anchored_cosh_m075,-0.03978530985012174,-0.03142855881042964
500000.0,1024,128,anchored_cosh_rule,-0.039054293177094,-0.038788637842881
500000.0,1024,128,anchored_cosh_m125,-0.03224464275077121,-0.026427032080617252
500000.0,1024,128,anchored_exp_rule,-0.03787546097869073,-0.0323891930088435
1000000.0,256,32,anchored_cosh_m075,-0.003884710432636792,0.010688410636128983
1000000.0,256,32,anchored_cosh_rule,-0.008175553467292929,0.0013383110432642435
1000000.0,256,32,anchored_cosh_m125,-0.0017888870820380969,-0.01516532068805058
1000000.0,256,32,anchored_exp_rule,-0.005184600416450043,-0.0034798276801441355
1000000.0,256,64,anchored_cosh_m075,-0.003752812314380035,-0.011609484320382002
1000000.0,256,64,anchored_cosh_rule,-0.019824449320195114,-0.02168772648455312
1000000.0,256,64,anchored_cosh_m125,-0.01620820994943954,-0.01540706843780774
1000000.0,256,64,anchored_exp_rule,-0.02011670563423233,-0.014853883024237291
1000000.0,256,128,anchored_cosh_m075,-0.0014292800543144561,-0.0008247808050511433
1000000.0,256,128,anchored_cosh_rule,0.03153863198307919,0.03201388223256677
1000000.0,256,128,anchored_cosh_m125,0.022186412360728863,0.021462046641937665
1000000.0,256,128,anchored_exp_rule,-0.001974799770610325,0.003867872124700078
1000000.0,1024,32,anchored_cosh_m075,-0.014123675024042548,0.0011338953382118433
1000000.0,1024,32,anchored_cosh_rule,-0.005623968136381663,0.001374035666963221
1000000.0,1024,32,anchored_cosh_m125,-0.00939185908365392,-0.0010366789887292782
1000000.0,1024,32,anchored_exp_rule,-0.01722773576131864,0.02188675087128189
1000000.0,1024,64,anchored_cosh_m075,0.007766975132375305,0.012394494226142546
1000000.0,1024,64,anchored_cosh_rule,-0.008078492848574351,-0.004756486351214247
1000000.0,1024,64,anchored_cosh_m125,-0.021294051810150982,-0.013659008453702567
1000000.0,1024,64,anchored_exp_rule,-0.012116499232180425,-0.003578066393046401
1000000.0,1024,128,anchored_cosh_m075,-0.04649719789226333,-0.03970087911443946
1000000.0,1024,128,anchored_cosh_rule,-0.04926506182945456,-0.0400013760235837
1000000.0,1024,128,anchored_cosh_m125,-0.051324724199124226,-0.03906885794111581
1000000.0,1024,128,anchored_exp_rule,-0.05636608655056433,-0.0465034115057108
