task,llama31_mrpro,llama31_tailspline,llama3_mrpro,llama3_tailspline,llama31_T_minus_P_pp,llama3_T_minus_P_pp
niah_single_1,80.0,80.0,0.0,60.0,0.0,60.0
niah_single_2,90.0,80.0,0.0,70.0,-10.0,70.0
niah_single_3,100.0,100.0,0.0,10.0,0.0,10.0
niah_multikey_1,90.0,80.0,0.0,20.0,-10.0,20.0
niah_multikey_2,40.0,50.0,0.0,0.0,10.0,0.0
niah_multikey_3,0.0,0.0,0.0,0.0,0.0,0.0
niah_multivalue,32.5,20.0,0.0,25.0,-12.5,25.0
niah_multiquery,37.5,30.0,0.0,10.0,-7.5,10.0
vt,74.0,74.0,0.0,0.0,0.0,0.0
cwe,0.0,0.0,0.0,0.0,0.0,0.0
fwe,60.0,60.0,6.67,36.67,0.0,30.0
qa_1,70.0,60.0,0.0,0.0,-10.0,0.0
qa_2,30.0,10.0,0.0,10.0,-20.0,10.0
