arm,prompt_sha8,depth_percent,answer_position,gold_id,gold_delta_centred_final,gap_full,gap_ablated,deficit_closed_by_gold_block,residual_deficit,closure_fraction,gold_blocks_worth_still_needed,median_abs_delta_top32_competitors,top1_id,top1_logit_full,top_ids_json,top_delta_centred_json
evq,6cd995c6,10.0,0,24963,0.4062,13.6016,14.0078,0.4062,13.6016,0.029,33.481,0.125,220,15.25,"[220, 578, 320, 922, 19664, 1115, 1102, 323, 2435, 763, 2684, 358, 279, 4815, 25644, 1174, 18624, 510, 39104, 362, 21279, 612, 1442, 99011, 1556, 4213, 46027, 1226, 16834, 4959, 471, 1472]","[0.0, 0.0625, -0.3125, -0.4375, 0.0, 0.125, 0.0625, -0.0625, -0.1875, 0.0625, 0.0, 0.125, 0.0625, -0.125, -0.6875, -0.125, -0.125, 0.0, -0.3125, 0.125, -0.5, 0.0, 0.0, 0.25, -0.0625, -0.25, 0.25, -0.0625, -0.375, -0.375, 0.1875, 0.0]"
evq,6cd995c6,10.0,1,4146,5.4297,0.25,6.0938,5.8438,0.25,0.959,0.043,0.7734,13,11.5,"[13, 220, 11, 4146, 7, 279, 14, 26, 22, 320, 578, 17, 58, 14205, 12, 21, 914, 18, 16, 25, 5154, 24, 20, 845, 586, 791, 15, 23, 90, 19, 510, 1627]","[-0.4141, -0.2266, 0.2109, 5.4297, 0.7734, 0.2734, 0.6484, 0.0234, -0.4141, -0.9766, -0.9141, -0.3516, 0.7734, 2.4922, 0.0234, -0.4141, 2.1172, -0.6016, -0.7266, 0.0859, 3.0547, -1.2266, -0.9141, 2.0859, 0.7109, -1.9141, -1.6641, -1.5391, 0.9297, -1.4766, -0.5391, 2.1484]"
evq,6cd995c6,10.0,2,1114,1.25,4.5312,5.9062,1.375,4.5312,0.2328,3.295,0.3125,13,12.125,"[13, 11, 220, 22, 7, 24, 14, 16, 578, 23, 26, 15, 17, 791, 19, 20, 279, 18, 12, 21, 320, 19664, 25, 845, 198, 58, 4146, 323, 914, 9, 32, 922]","[-0.125, -0.125, -0.6875, 0.1875, 0.3125, -0.125, 0.5, -0.0625, -0.25, -0.4375, -0.3125, -0.6875, -0.1875, -0.8125, -0.625, -0.3125, 0.125, -0.375, -0.125, -0.25, -1.25, -0.0625, 0.125, 2.375, -1.5625, 0.3125, 3.3438, -0.25, 1.7188, 0.0, -0.125, -0.875]"
evq,06800fde,10.0,0,20936,0.916,9.625,10.6875,1.0625,9.625,0.0994,9.059,0.1465,220,15.1875,"[220, 578, 320, 19664, 922, 1115, 25644, 1102, 323, 2435, 279, 2684, 21279, 1174, 763, 39104, 18624, 358, 4815, 4959, 99011, 4213, 510, 362, 16834, 1442, 1556, 679, 1959, 1472, 1226, 10180]","[-0.1465, -0.209, -0.3965, 0.1035, -0.459, -0.084, -0.1465, -0.084, -0.1465, -0.2715, 0.041, -0.084, -0.209, -0.209, -0.1465, -0.1465, -0.084, -0.0215, -0.5215, -0.0215, 0.291, -0.334, -0.209, -0.0215, -0.2715, -0.084, -0.1465, 0.041, 0.1035, 0.041, -0.209, -0.084]"
evq,06800fde,10.0,1,17228,2.0469,6.3438,8.9688,2.625,6.3438,0.2927,2.417,0.6406,13,11.3125,"[13, 220, 18, 11, 19, 24, 15, 279, 17, 19664, 7, 14, 20, 22, 23, 791, 12, 16, 578, 21, 320, 26, 586, 25, 198, 34, 922, 58, 323, 33, 9, 2]","[-0.5781, -0.4531, 1.6719, -0.2031, 1.1094, 0.9219, 0.5469, -0.2031, 1.0469, 0.2344, -0.2656, 0.0469, 0.9844, 0.7344, 0.4844, -1.0156, 0.3594, 0.6719, -0.6406, 0.6719, -1.0156, -0.7031, 1.1094, -0.2656, -1.4531, 1.0156, -0.9531, -0.0156, -0.4531, 0.6406, 0.0469, 0.2344]"
evq,06800fde,10.0,2,1135,1.2734,4.4688,5.8125,1.3438,4.4688,0.2312,3.326,0.5,15,11.9375,"[15, 20, 24, 13, 18, 19, 23, 16, 22, 11, 17, 21, 220, 7, 14, 12, 26, 25, 791, 279, 578, 198, 320, 19664, 34, 58, 9, 323, 33, 64, 32, 9588]","[0.4922, 0.8047, 0.4297, -0.4453, 0.8672, 0.5547, 0.2422, 0.5547, 0.4297, -0.1953, 0.4297, 0.4922, -0.7578, -0.5078, 0.4297, 0.1172, -0.3828, -0.0078, -0.7578, -0.5078, -0.8203, -1.5078, -1.3203, -0.8203, 1.2109, 0.1797, -0.0078, -0.4453, 0.8047, 0.8047, -0.0078, 0.8672]"
evq,933bec9a,25.0,0,20077,0.8047,10.0938,11.125,1.0312,10.0938,0.0927,9.788,0.1484,220,14.875,"[220, 578, 320, 922, 1115, 19664, 25644, 1102, 323, 2435, 279, 358, 21279, 4213, 1174, 763, 510, 2684, 4815, 18624, 362, 39104, 612, 1226, 1442, 1556, 4959, 16834, 1959, 10180, 264, 1789]","[-0.2266, 0.0234, -0.1641, -0.1641, 0.1484, 0.1484, -0.2266, 0.0234, -0.1641, -0.1016, 0.1484, 0.1484, -0.2891, -0.1016, -0.0391, 0.0234, 0.0859, -0.0391, -0.4141, 0.2109, 0.1484, -0.0391, 0.0234, 0.0234, 0.0859, 0.1484, -0.3516, -0.3516, -0.2891, 0.1484, -0.2891, 0.0859]"
evq,933bec9a,25.0,1,18775,1.6172,7.5625,9.2969,1.7344,7.5625,0.1866,4.36,0.2812,13,11.5,"[13, 220, 24, 23, 19, 15, 11, 22, 18, 578, 7, 20, 320, 16, 791, 17, 279, 21, 198, 19664, 14, 12, 26, 25, 58, 510, 922, 662, 1174, 627, 11829, 1115]","[-0.1172, 0.1953, 0.6328, 0.5078, 0.8828, 0.1953, -0.0547, 0.6953, 0.8203, 0.2578, 0.2578, 0.5078, -0.3047, 0.5703, -0.2422, 0.5703, 0.1328, 0.5703, -0.2422, 0.3203, 0.1328, 0.2578, -0.0547, 0.3828, 0.4453, 0.3828, -0.0547, 0.1328, 0.1328, -0.1172, -0.3047, 0.3828]"
evq,933bec9a,25.0,2,1644,1.75,5.0625,6.9375,1.875,5.0625,0.2703,2.7,0.3438,13,11.5,"[13, 220, 24, 578, 11, 23, 19, 7, 22, 18, 15, 320, 198, 20, 16, 17, 21, 279, 791, 26, 25, 12, 14, 58, 19664, 510, 1115, 1174, 9, 662, 323, 627]","[-0.125, 0.0, 0.6875, 0.5, -0.125, 0.375, 0.625, 0.125, 0.375, 0.8125, 0.1875, -0.375, -0.4375, 0.375, 0.4375, 0.4375, 0.3125, 0.0625, -0.125, -0.0625, 0.5, -0.1875, 0.0, 0.625, -0.375, 0.4375, 0.5, 0.125, 0.1875, 0.0625, -0.0625, -0.25]"
evq,c4b929f0,25.0,0,15935,0.6172,10.625,11.4062,0.7812,10.625,0.0685,13.6,0.1484,220,14.875,"[220, 578, 320, 922, 1115, 19664, 1102, 25644, 2435, 323, 763, 21279, 358, 2684, 4213, 1174, 279, 4815, 510, 18624, 362, 612, 1226, 39104, 1442, 1556, 1959, 1789, 4959, 16834, 1283, 1472]","[-0.1641, 0.0234, -0.2266, -0.2266, 0.2109, 0.0859, 0.0234, -0.2266, -0.1641, -0.1641, 0.0859, -0.2891, 0.1484, 0.0234, -0.0391, -0.0391, -0.1016, -0.4141, -0.1016, 0.2734, 0.1484, 0.0234, 0.0859, -0.1016, 0.0859, 0.1484, -0.2266, 0.0859, -0.4141, -0.2891, 0.0859, 0.2109]"
