arm,prompt_sha8,depth_percent,matched_pair,answer_position,gold_token_id,entry_layer_audit_rule,entry_layer_vocab_rule,entry_layer_10pct_rule,peak_layer,peak_delta_centred,final_delta_centred,retention_R,max_delta_gold_z,final_delta_gold_z,peak_kl_layer,final_kl,final_gold_rank_full,final_gold_rank_ablated,final_causal_delta_rank,final_gap_to_competitor_full,final_gap_to_competitor_ablated,final_best_competitor_id_full
evq,6cd995c6,10.0,True,0,24963,16,24,16,24,0.96875,0.40625,0.41935483870967744,3.4848692417144775,1.5942509174346924,28,0.012201272882521152,22569,27839,7862,13.6015625,14.0078125,220
evq,6cd995c6,10.0,True,1,4146,5,22,16,28,7.025390625,5.4296875,0.7728662774534334,8.064878463745117,8.064878463745117,27,0.6117705702781677,3,359,1,0.25,6.09375,13
evq,6cd995c6,10.0,True,2,1114,15,16,16,22,3.9423828125,1.25,0.31706712905622986,6.981844425201416,2.4296140670776367,28,0.19334839284420013,49,131,1665,4.53125,5.90625,13
evq,06800fde,10.0,True,0,20936,5,29,16,28,1.0390625,0.916015625,0.881578947368421,3.9053847789764404,3.9053847789764404,28,0.010866088792681694,938,2500,97,9.625,10.6875,220
evq,06800fde,10.0,True,1,17228,12,31,23,31,2.046875,2.046875,1.0,3.272529125213623,3.272529125213623,27,0.3126717507839203,697,4565,183,6.34375,8.96875,13
evq,06800fde,10.0,True,2,1135,16,22,16,22,2.95703125,1.2734375,0.43064729194187584,5.157469749450684,2.339191436767578,27,0.20124918222427368,55,165,1659,4.46875,5.8125,15
evq,933bec9a,25.0,True,0,20077,22,26,22,28,1.140625,0.8046875,0.7054794520547946,4.791210174560547,4.791210174560547,25,0.012476488016545773,1862,3823,68,10.09375,11.125,220
evq,933bec9a,25.0,True,1,18775,10,12,10,31,1.6171875,1.6171875,1.0,5.369984149932861,5.369984149932861,30,0.08371081948280334,1688,5748,33,7.5625,9.296875,13
evq,933bec9a,25.0,True,2,1644,15,16,15,19,2.134765625,1.75,0.8197621225983531,5.121557235717773,5.121557235717773,30,0.10014118254184723,143,613,14,5.0625,6.9375,13
evq,c4b929f0,25.0,True,0,15935,17,23,17,24,1.0625,0.6171875,0.5808823529411765,4.30924654006958,3.5523178577423096,28,0.00959957204759121,3035,5186,152,10.625,11.40625,220
evq,c4b929f0,25.0,True,1,23467,16,27,16,31,1.359375,1.359375,1.0,5.588637828826904,5.588637828826904,30,0.07785854488611221,4740,13727,13,9.15625,10.2890625,13
evq,c4b929f0,25.0,True,2,5332,11,31,11,31,1.546875,1.546875,1.0,4.451639175415039,4.451639175415039,14,0.21831707656383514,157,455,35,4.9375,6.75,13
evq,8c28ff35,50.0,True,0,7322,19,22,19,23,0.625,0.328125,0.525,10.2779541015625,7.0821533203125,28,0.0007932884618639946,543,763,1,9.1875,9.46875,220
evq,8c28ff35,50.0,True,1,12378,5,,10,28,0.59375,0.34375,0.5789473684210527,2.31253981590271,1.7457408905029297,10,0.054907094687223434,440,642,5558,7.0625,7.0625,13
evq,8c28ff35,50.0,True,2,3487,16,23,16,26,2.265625,1.0234375,0.4517241379310345,4.522596836090088,3.272529125213623,20,0.053779974579811096,76,197,172,4.59375,5.375,13
geo,6cd995c6,10.0,True,0,24963,29,,0,29,0.16796875,0.1640625,0.9767441860465116,2.697962999343872,2.023472309112549,29,0.005428791046142578,64300,67881,3658,15.375,15.53125,791
geo,6cd995c6,10.0,True,1,4146,13,,13,13,0.19140625,-0.046875,-0.24489795918367346,0.8993210196495056,-0.2997736632823944,15,0.02080712467432022,21005,20794,76755,13.265625,13.125,198
geo,6cd995c6,10.0,True,2,1114,4,25,4,25,0.4921875,0.09375,0.19047619047619047,7.725985527038574,2.023472309112549,1,0.0010243922006338835,11297,11995,4473,13.4296875,13.4921875,13
geo,06800fde,10.0,True,0,20936,,,0,14,0.078125,-0.1044921875,-1.3375,1.348981499671936,-1.5035524368286133,29,0.003144366666674614,36721,34623,119690,13.9990234375,13.89453125,791
geo,06800fde,10.0,True,1,17228,4,,4,5,0.2138671875,-0.0302734375,-0.1415525114155251,1.2625082731246948,-0.42671865224838257,6,0.0029492592439055443,33355,32597,83211,14.8037109375,14.6171875,13
geo,06800fde,10.0,True,2,1135,4,,3,17,0.560791015625,-0.3125,-0.5572485851110144,2.2007176876068115,-1.6862269639968872,14,0.017982106655836105,10378,8546,114894,12.765625,12.3125,13
geo,933bec9a,25.0,True,0,20077,,,1,31,0.0263671875,0.0263671875,1.0,0.7588021755218506,0.7588021755218506,21,0.0009036492556333542,42164,42840,26570,14.0673828125,14.125,791
