arm,target_length,prompt_sha8,example_id,layer,n_frozen_heads_in_layer,hit16_all_heads,hit16_frozen_heads,dense_answer_mass_all_heads,dense_answer_mass_frozen_heads,block_rank_median_all_heads,block_rank_median_frozen_heads
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,0,0,0.21875,nan,0.0005324250267408797,nan,31.5,nan
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,1,0,0.25,nan,0.00035464878736490846,nan,49.5,nan
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,2,0,0.25,nan,3.749222572772826e-05,nan,40.0,nan
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,3,0,0.3125,nan,0.00029035142334582487,nan,33.0,nan
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,4,0,0.40625,nan,0.0002961598674033894,nan,19.5,nan
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,5,0,0.25,nan,0.0005137088695880143,nan,60.5,nan
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,6,0,0.3125,nan,5.665067586030587e-05,nan,43.5,nan
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,7,0,0.25,nan,0.00013333719654452791,nan,48.5,nan
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,8,0,0.1875,nan,0.00014314328679090627,nan,61.5,nan
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,9,0,0.28125,nan,0.00016095943568577903,nan,47.5,nan
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,10,0,0.3125,nan,0.00016487333146991668,nan,32.5,nan
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,11,1,0.125,0.0,2.787310765931684e-05,0.0003593591973185539,36.5,42.0
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,12,0,0.09375,nan,3.6900352382339954e-06,nan,62.5,nan
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,13,5,0.71875,0.8,0.004944770097634559,0.012072314390252359,4.0,2.0
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,14,3,0.59375,0.6666666666666666,0.00106807938268777,0.0002522195378939311,8.0,7.0
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,15,1,0.53125,1.0,0.00044229672164086686,0.0017972548957914114,11.5,1.0
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,16,1,0.4375,0.0,0.07210086758611516,0.00033968884963542223,27.0,43.0
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,17,4,0.3125,0.75,0.002644247928544412,0.01455187770383759,36.5,6.5
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,18,0,0.59375,nan,0.0178155076935127,nan,12.0,nan
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,19,1,0.65625,1.0,0.0035034017135515683,0.019996948540210724,8.5,1.0
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,20,2,0.71875,1.0,0.020944700039122882,0.11338214948773384,3.5,1.0
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,21,1,0.3125,0.0,0.00030332477678748524,5.151396180735901e-07,33.5,48.0
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,22,1,0.53125,1.0,0.008041710842293881,0.1415923833847046,14.0,1.0
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,23,1,0.5625,1.0,0.014473495072223912,0.10870926082134247,14.5,1.0
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,24,1,0.46875,1.0,0.019391205174290802,0.0017179703572764993,16.0,14.0
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,25,0,0.28125,nan,0.03365439485750618,nan,46.5,nan
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,26,2,0.53125,0.5,0.0004267680993961774,0.0006617201961489627,16.0,21.0
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,27,1,0.4375,1.0,0.011870734687769845,0.12132583558559418,30.0,1.0
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,28,1,0.25,1.0,0.00044921775999119304,0.00042702024802565575,36.5,6.0
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,29,1,0.46875,0.0,0.0007310447513625973,0.00011914156493730843,18.0,21.0
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,30,4,0.375,0.25,0.000349813612590566,0.0004073053897286627,29.0,23.0
evq,16384,6cd995c6,passkey-L16384-d10p0-t00-s42,31,1,0.15625,1.0,9.79475385570351e-05,0.00012859511480201036,61.5,15.0
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,0,0,0.21875,nan,0.00037332716105771573,nan,31.5,nan
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,1,0,0.21875,nan,0.0003804785513281672,nan,49.5,nan
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,2,0,0.25,nan,3.4604445921129594e-05,nan,40.0,nan
evq,16384,06800fde,passkey-L16384-d10p0-t01-s42,3,0,0.3125,nan,0.0002817273437504819,nan,32.5,nan
