arm,prompt_sha8,depth_percent,answer_position,best_gold_rank,best_gold_rank_layer,final_gold_rank,rank_degradation_factor,best_gold_rank_layers_ge20,best_gold_rank_layer_ge20,rank_degradation_factor_layers_ge20,peak_gold_prob,peak_gold_prob_layer,final_gold_prob,gold_prob_drop_factor,peak_kl,peak_kl_layer,final_kl,kl_drop_factor,peak_delta_centred,final_delta_centred,delta_retention_R,entropy_at_peak_kl_layer,entropy_final,top1_prob_final
evq,6cd995c6,10.0,0,974,19,22569,23.171,1023,24,22.062,0.0001288961066165939,19,7.082234105837415e-07,181.999,0.6580159664154053,28,0.012201272882521152,53.93,0.96875,0.40625,0.4194,3.9159438610076904,3.3355982303619385,0.5718129873275757
evq,6cd995c6,10.0,1,3,31,3,1.0,3,31,1.0,0.04785584658384323,31,0.04785584658384323,1.0,0.7701330184936523,27,0.6117705702781677,1.259,7.025390625,5.4296875,0.7729,8.799936294555664,6.6215362548828125,0.061448123306035995
evq,6cd995c6,10.0,2,49,31,49,1.0,49,31,1.0,0.0014545618323609233,31,0.0014545618323609233,1.0,0.5055359601974487,28,0.19334839284420013,2.615,3.9423828125,1.25,0.3171,8.564538955688477,6.025714874267578,0.1350918561220169
evq,06800fde,10.0,0,42,27,938,22.333,42,27,22.333,0.0006496123969554901,27,3.736993676284328e-05,17.383,0.9097912907600403,28,0.010866088792681694,83.728,1.0390625,0.916015625,0.8816,3.0105457305908203,3.511932134628296,0.5657268762588501
evq,06800fde,10.0,1,438,30,697,1.591,438,30,1.591,0.00010555981134530157,31,0.00010555981134530157,1.0,0.5101720094680786,27,0.3126717507839203,1.632,2.046875,2.046875,1.0,9.322393417358398,6.392131328582764,0.060055699199438095
evq,06800fde,10.0,2,26,30,55,2.115,26,30,2.115,0.0017178544076159596,30,0.0008773820591159165,1.958,0.36822593212127686,27,0.20124918222427368,1.83,2.95703125,1.2734375,0.4306,9.31737995147705,5.270542621612549,0.0765494704246521
evq,933bec9a,25.0,0,56,28,1862,33.25,56,28,33.25,0.0008898887899704278,29,2.15019299503183e-05,41.386,0.06593842804431915,25,0.012476488016545773,5.285,1.140625,0.8046875,0.7055,9.407676696777344,3.801650047302246,0.5201602578163147
evq,933bec9a,25.0,1,1688,31,1688,1.0,1688,31,1.0,3.712972466018982e-05,31,3.712972466018982e-05,1.0,0.161517933011055,30,0.08371081948280334,1.929,1.6171875,1.6171875,1.0,5.666164875030518,6.059804916381836,0.07146178185939789
evq,933bec9a,25.0,2,143,31,143,1.0,143,31,1.0,0.0004868200921919197,31,0.0004868200921919197,1.0,0.261717826128006,30,0.10014118254184723,2.613,2.134765625,1.75,0.8198,5.7722039222717285,6.135776519775391,0.07691024243831635
evq,c4b929f0,25.0,0,2900,4,3035,1.047,3035,31,1.0,5.157051418791525e-05,4,1.2589851394295692e-05,4.096,0.06906174123287201,28,0.00959957204759121,7.194,1.0625,0.6171875,0.5809,7.853610038757324,3.77618408203125,0.5180833339691162
