[Step 1] loss=12.008819, lr=0.00e+00
[Step 2] loss=12.092728, lr=5.00e-06
[Step 3] loss=12.141796, lr=1.00e-05
[Step 4] loss=12.082387, lr=9.92e-06
[Step 5] loss=11.914471, lr=9.70e-06
[Step 6] loss=11.931202, lr=9.33e-06
[Step 7] loss=11.940947, lr=8.83e-06
[Step 8] loss=11.974622, lr=8.21e-06
[Step 9] loss=11.931385, lr=7.50e-06
[Step 10] loss=11.840365, lr=6.71e-06
[Step 11] loss=12.021502, lr=5.87e-06
[Step 12] loss=11.710360, lr=5.00e-06
[Step 13] loss=11.935865, lr=4.13e-06
[Step 14] loss=11.983302, lr=3.29e-06
[Step 15] loss=11.854164, lr=2.50e-06
[Step 16] loss=11.872959, lr=1.79e-06
[Step 17] loss=11.613041, lr=1.17e-06
[Step 18] loss=11.730453, lr=6.70e-07
[Step 19] loss=11.891738, lr=3.02e-07
[Step 20] loss=11.878706, lr=7.60e-08
