model,tau,seed,phase_collision,ppl_2048,ppl_4096,ppl_8192,ppl_16384,delta_ppl_16k_pct,waterbed_holds
50M,0.00,42,0.3857,4.146,6.183,14.004,33.316,,
50M,0.20,42,0.3902,4.160,7.283,17.457,42.314,+27.0,
50M,0.40,42,0.4382,4.207,6.789,14.331,33.298,-0.1,
50M,0.60,42,0.3607,4.173,7.253,16.571,37.978,+14.0,
50M,0.80,42,0.2899,4.169,7.736,17.193,36.306,+9.0,
50M,1.00,42,0.3048,4.150,7.830,17.790,37.369,+12.2,
50M,1.50,42,0.2678,4.134,6.667,13.778,29.697,-10.9,false
50M,2.00,42,0.2782,4.197,7.048,14.981,35.646,+7.0,
125M,0.00,42,,3.346,5.454,13.476,34.153,,
125M,0.20,42,,3.363,5.999,16.616,43.103,+26.2,
125M,1.50,42,,3.290,4.681,10.459,27.699,-18.9,false
125M,0.00,137,,3.318,5.737,12.694,28.502,,
125M,1.50,137,,3.318,5.321,11.341,26.860,-5.8,false
