model,case_id,level,context_length,depth_name,depth_ratio,near_gap_tokens,repeat,passkey_true,passkey_false,true_key_token_len,false_key_token_len,true_loss,false_loss,margin_false_minus_true,hit
Sigmoid,L1_256_near20,L1,256,near20,,20.0,0,94308,42999,2,2,8.875,11.25,2.375,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,1,40798,68262,2,2,12.3125,13.3125,1.0,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,2,88023,32551,2,2,11.875,10.25,-1.625,0
Sigmoid,L1_256_near20,L1,256,near20,,20.0,3,54576,52307,2,2,7.875,10.25,2.375,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,4,92789,97970,3,3,6.65625,8.6875,2.03125,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,5,51111,21400,2,2,9.9375,8.1875,-1.75,0
Sigmoid,L1_256_near20,L1,256,near20,,20.0,6,57064,74563,2,2,9.75,10.4375,0.6875,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,7,85964,86281,2,2,9.5625,14.0,4.4375,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,8,82276,91496,3,3,8.375,10.125,1.75,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,9,93707,27704,2,2,10.8125,11.5,0.6875,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,10,88879,95869,2,2,14.5,12.75,-1.75,0
Sigmoid,L1_256_near20,L1,256,near20,,20.0,11,13680,11353,2,2,10.0,13.75,3.75,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,12,41832,18298,2,2,11.0,12.875,1.875,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,13,45231,39270,2,2,10.5625,10.0,-0.5625,0
Sigmoid,L1_256_near20,L1,256,near20,,20.0,14,54943,27703,2,2,9.6875,11.0625,1.375,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,15,51122,25032,2,2,8.75,11.5625,2.8125,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,16,69271,28730,2,2,12.625,10.75,-1.875,0
Sigmoid,L1_256_near20,L1,256,near20,,20.0,17,91814,97540,3,3,5.59375,8.125,2.53125,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,18,81792,93808,2,2,11.375,13.25,1.875,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,19,58219,86597,3,3,6.90625,9.5,2.59375,1
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,0,21074,78692,2,2,14.375,14.125,-0.25,0
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,1,28281,52419,2,2,15.125,13.75,-1.375,0
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,2,91489,94478,3,3,8.125,11.5,3.375,1
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,3,15277,51820,2,2,15.375,11.625,-3.75,0
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,4,95515,56090,2,2,10.9375,13.1875,2.25,1
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,5,86805,79121,2,2,12.375,10.5,-1.875,0
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,6,70460,38696,2,2,12.8125,12.5,-0.3125,0
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,7,34540,54588,2,2,11.0,10.875,-0.125,0
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,8,14608,60838,2,2,14.875,16.625,1.75,1
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,9,25817,45754,2,2,11.3125,14.25,2.9375,1
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,10,52852,78676,2,2,9.125,14.75,5.625,1
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,11,93628,89531,3,3,8.75,9.25,0.5,1
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,12,33621,16793,2,2,14.125,15.0625,0.9375,1
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,13,85286,99357,2,2,17.875,16.25,-1.625,0
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,14,49128,25293,2,2,9.75,12.25,2.5,1
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,15,42245,45407,2,2,13.75,12.5,-1.25,0
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,16,64778,95953,2,2,15.375,13.0,-2.375,0
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,17,88806,54593,2,2,11.875,12.625,0.75,1
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,18,28090,44896,2,2,14.75,14.125,-0.625,0
Sigmoid,L2_4096_hard,L2,4096,hard,0.1,,19,47628,23851,2,2,12.375,13.25,0.875,1
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,0,55242,76572,2,2,11.875,16.5,4.625,1
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,1,81206,13503,2,2,9.375,11.75,2.375,1
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,2,86854,47313,2,2,15.125,12.9375,-2.1875,0
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,3,15461,97908,2,2,14.375,18.625,4.25,1
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,4,84713,85644,2,2,13.75,15.5625,1.8125,1
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,5,44748,56040,2,2,13.125,10.875,-2.25,0
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,6,39308,61214,2,2,11.3125,13.3125,2.0,1
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,7,37416,89415,2,2,9.4375,15.25,5.8125,1
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,8,55043,42665,2,2,12.375,12.5,0.125,1
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,9,42731,39621,2,2,13.3125,11.75,-1.5625,0
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,10,46079,59495,2,2,14.5,12.625,-1.875,0
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,11,78937,91748,3,3,7.84375,9.4375,1.59375,1
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,12,33057,55465,2,2,12.125,12.875,0.75,1
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,13,91874,90587,3,3,7.53125,10.5625,3.03125,1
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,14,17515,48865,2,2,13.1875,12.875,-0.3125,0
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,15,90396,42890,2,2,12.75,14.5,1.75,1
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,16,37086,49089,2,2,9.5,10.4375,0.9375,1
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,17,34191,43460,2,2,10.625,14.75,4.125,1
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,18,57498,30325,2,2,11.375,11.375,0.0,0
Sigmoid,L2_4096_medium,L2,4096,medium,0.5,,19,41090,81467,2,2,13.125,13.875,0.75,1
Sigmoid,L2_4096_easy,L2,4096,easy,0.9,,0,58594,98273,2,2,10.5625,13.875,3.3125,1
Sigmoid,L2_4096_easy,L2,4096,easy,0.9,,1,21842,62787,2,2,12.125,13.375,1.25,1
Sigmoid,L2_4096_easy,L2,4096,easy,0.9,,2,92425,10224,2,2,10.875,9.25,-1.625,0
Sigmoid,L2_4096_easy,L2,4096,easy,0.9,,3,75440,46273,2,2,12.5,13.875,1.375,1
Sigmoid,L2_4096_easy,L2,4096,easy,0.9,,4,39698,30100,2,2,11.25,11.875,0.625,1
Sigmoid,L2_4096_easy,L2,4096,easy,0.9,,5,17842,27636,2,2,14.125,12.625,-1.5,0
Sigmoid,L2_4096_easy,L2,4096,easy,0.9,,6,46651,88607,2,2,18.125,13.875,-4.25,0
Sigmoid,L2_4096_easy,L2,4096,easy,0.9,,7,37298,51746,2,2,16.0,13.875,-2.125,0
Sigmoid,L2_4096_easy,L2,4096,easy,0.9,,8,30011,79119,2,2,8.5,16.5,8.0,1
Sigmoid,L2_4096_easy,L2,4096,easy,0.9,,9,23198,57896,2,2,10.125,13.0,2.875,1
