model,case_id,level,context_length,depth_name,hit_rate,mean_true_loss,mean_false_loss,mean_margin,n
Anchored-20,L1_256_near20,L1,256,near20,0.55,2.684375,2.6875,0.003125,20
Anchored-20,L2_4096_easy,L2,4096,easy,0.55,2.9328125,2.95234375,0.01953125,20
Anchored-20,L2_4096_hard,L2,4096,hard,0.45,3.27109375,3.30703125,0.0359375,20
Anchored-20,L2_4096_medium,L2,4096,medium,0.55,2.9328125,2.9515625,0.01875,20
Anchored-20,L2_8192_easy,L2,8192,easy,0.5,3.3203125,3.3,-0.0203125,20
Anchored-20,L2_8192_hard,L2,8192,hard,0.55,2.7921875,2.91953125,0.12734375,20
Anchored-20,L2_8192_medium,L2,8192,medium,0.45,3.0703125,3.10078125,0.03046875,20
Anchored-20,L3_12000_easy,L3,12000,easy,0.35,3.00234375,2.975,-0.02734375,20
Anchored-20,L3_12000_hard,L3,12000,hard,0.6,2.87734375,2.85,-0.02734375,20
Sigmoid,L1_256_near20,L1,256,near20,0.5,2.4078125,2.42734375,0.01953125,20
Sigmoid,L2_4096_easy,L2,4096,easy,0.55,2.86171875,2.86796875,0.00625,20
Sigmoid,L2_4096_hard,L2,4096,hard,0.5,2.79609375,2.81015625,0.0140625,20
Sigmoid,L2_4096_medium,L2,4096,medium,0.4,2.7953125,2.7453125,-0.05,20
Sigmoid,L2_8192_easy,L2,8192,easy,0.45,3.8203125,3.82421875,0.00390625,20
Sigmoid,L2_8192_hard,L2,8192,hard,0.75,4.1109375,4.36328125,0.25234375,20
Sigmoid,L2_8192_medium,L2,8192,medium,0.7,3.7546875,3.8203125,0.065625,20
Sigmoid,L3_12000_easy,L3,12000,easy,0.65,3.32109375,3.384375,0.06328125,20
Sigmoid,L3_12000_hard,L3,12000,hard,0.55,5.0515625,5.02109375,-0.03046875,20
Standard,L1_256_near20,L1,256,near20,0.5,7.8421875,7.8328125,-0.009375,20
Standard,L2_4096_easy,L2,4096,easy,0.5,8.1734375,8.1671875,-0.00625,20
Standard,L2_4096_hard,L2,4096,hard,0.5,7.4171875,7.75625,0.3390625,20
Standard,L2_4096_medium,L2,4096,medium,0.5,7.76875,7.83125,0.0625,20
Standard,L2_8192_easy,L2,8192,easy,0.45,8.84375,8.6953125,-0.1484375,20
Standard,L2_8192_hard,L2,8192,hard,0.4,8.0515625,8.1328125,0.08125,20
Standard,L2_8192_medium,L2,8192,medium,0.55,9.1890625,9.071875,-0.1171875,20
Standard,L3_12000_easy,L3,12000,easy,0.55,7.4,7.45,0.05,20
Standard,L3_12000_hard,L3,12000,hard,0.55,5.484375,5.6359375,0.1515625,20
