model,case_id,level,context_length,depth_name,depth_ratio,near_gap_tokens,repeat,passkey_true,passkey_false,true_key_token_len,false_key_token_len,true_loss,false_loss,margin_false_minus_true,hit
Sigmoid,L1_256_near20,L1,256,near20,,20.0,0,94308,42999,5,5,2.28125,2.421875,0.140625,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,1,40798,68262,5,5,2.5,2.65625,0.15625,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,2,88023,32551,5,5,2.484375,2.421875,-0.0625,0
Sigmoid,L1_256_near20,L1,256,near20,,20.0,3,54576,52307,5,5,2.3125,2.28125,-0.03125,0
Sigmoid,L1_256_near20,L1,256,near20,,20.0,4,92789,36939,5,5,2.421875,2.546875,0.125,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,5,59974,93733,5,5,2.5,2.453125,-0.046875,0
Sigmoid,L1_256_near20,L1,256,near20,,20.0,6,76657,15930,5,5,2.65625,2.25,-0.40625,0
Sigmoid,L1_256_near20,L1,256,near20,,20.0,7,23276,98016,5,5,2.4375,2.421875,-0.015625,0
Sigmoid,L1_256_near20,L1,256,near20,,20.0,8,61085,14506,5,5,2.4375,2.1875,-0.25,0
Sigmoid,L1_256_near20,L1,256,near20,,20.0,9,59495,36463,5,5,2.3125,2.5625,0.25,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,10,58742,97970,5,5,2.46875,2.484375,0.015625,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,11,51111,21400,5,5,2.328125,2.25,-0.078125,0
Sigmoid,L1_256_near20,L1,256,near20,,20.0,12,57064,74563,5,5,2.203125,2.4375,0.234375,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,13,85964,86281,5,5,2.625,2.546875,-0.078125,0
Sigmoid,L1_256_near20,L1,256,near20,,20.0,14,82276,78479,5,5,2.53125,2.515625,-0.015625,0
Sigmoid,L1_256_near20,L1,256,near20,,20.0,15,18769,74161,5,5,2.3125,2.375,0.0625,1
Sigmoid,L1_256_near20,L1,256,near20,,20.0,16,91496,93707,5,5,2.375,2.390625,0.015625,1
