ratio_L_over_b,L,p,C_geo,C_hybrid,delta_C_hybrid_minus_geo
1.6,16000,0.0,0.013479126506330636,0.011175385388756566,-0.00230374111757407
1.6,16000,0.010101010101010102,0.016401988786181626,0.013559831331862504,-0.002842157454319122
1.6,16000,0.020202020202020204,0.019324851066032614,0.015944277274968444,-0.0033805737910641703
1.6,16000,0.030303030303030304,0.022247713345883605,0.01832872321807438,-0.003918990127809226
1.6,16000,0.04040404040404041,0.025170575625734597,0.020713169161180316,-0.004457406464554281
1.6,16000,0.05050505050505051,0.028093437905585585,0.023097615104286255,-0.004995822801299329
1.6,16000,0.06060606060606061,0.031016300185436572,0.025482061047392195,-0.005534239138044378
1.6,16000,0.07070707070707072,0.03393916246528757,0.027866506990498134,-0.006072655474789433
1.6,16000,0.08080808080808081,0.036862024745138555,0.030250952933604074,-0.006611071811534482
1.6,16000,0.09090909090909091,0.03978488702498954,0.032635398876710006,-0.007149488148279537
1.6,16000,0.10101010101010102,0.04270774930484053,0.035019844819815946,-0.007687904485024585
1.6,16000,0.11111111111111112,0.04563061158469152,0.037404290762921885,-0.008226320821769634
1.6,16000,0.12121212121212122,0.048553473864542514,0.03978873670602782,-0.008764737158514696
1.6,16000,0.13131313131313133,0.05147633614439351,0.042173182649133764,-0.009303153495259744
1.6,16000,0.14141414141414144,0.054399198424244496,0.0445576285922397,-0.0098415698320048
1.6,16000,0.15151515151515152,0.057322060704095484,0.046942074535345636,-0.010379986168749848
1.6,16000,0.16161616161616163,0.06024492298394647,0.049326520478451576,-0.010918402505494897
1.6,16000,0.17171717171717174,0.06316778526379747,0.051710966421557515,-0.011456818842239959
1.6,16000,0.18181818181818182,0.06609064754364845,0.05409541236466345,-0.011995235178985
1.6,16000,0.19191919191919193,0.06901350982349944,0.05647985830776939,-0.012533651515730049
1.6,16000,0.20202020202020204,0.07193637210335044,0.05886430425087533,-0.013072067852475111
1.6,16000,0.21212121212121213,0.07485923438320141,0.06124875019398126,-0.013610484189220153
1.6,16000,0.22222222222222224,0.07778209666305241,0.0636331961370872,-0.014148900525965208
1.6,16000,0.23232323232323235,0.08070495894290342,0.06601764208019315,-0.01468731686271027
1.6,16000,0.24242424242424243,0.08362782122275439,0.06840208802329907,-0.015225733199455319
1.6,16000,0.25252525252525254,0.08655068350260538,0.07078653396640502,-0.015764149536200353
1.6,16000,0.26262626262626265,0.08947354578245638,0.07317097990951096,-0.016302565872945415
1.6,16000,0.27272727272727276,0.09239640806230737,0.07555542585261689,-0.016840982209690478
1.6,16000,0.2828282828282829,0.09531927034215835,0.07793987179572283,-0.017379398546435526
1.6,16000,0.29292929292929293,0.09824213262200934,0.08032431773882875,-0.01791781488318059
1.6,16000,0.30303030303030304,0.10116499490186033,0.08270876368193471,-0.018456231219925623
1.6,16000,0.31313131313131315,0.10408785718171132,0.08509320962504065,-0.01899464755667067
1.6,16000,0.32323232323232326,0.1070107194615623,0.08747765556814659,-0.01953306389341572
1.6,16000,0.33333333333333337,0.1099335817414133,0.08986210151125253,-0.020071480230160768
1.6,16000,0.3434343434343435,0.1128564440212643,0.09224654745435847,-0.02060989656690583
1.6,16000,0.3535353535353536,0.1157793063011153,0.09463099339746439,-0.021148312903650907
1.6,16000,0.36363636363636365,0.11870216858096627,0.09701543934057032,-0.021686729240395955
1.6,16000,0.37373737373737376,0.12162503086081726,0.09939988528367627,-0.02222514557714099
1.6,16000,0.38383838383838387,0.12454789314066825,0.10178433122678221,-0.022763561913886038
1.6,16000,0.393939393939394,0.12747075542051925,0.10416877716988815,-0.0233019782506311
