[guard] start 2026-02-12T12:33:04+00:00
[guard] 2026-02-12T12:33:04+00:00 main running
[guard] 2026-02-12T12:43:05+00:00 main running
[guard] 2026-02-12T12:53:05+00:00 main running
[guard] 2026-02-12T13:03:05+00:00 main running
[guard] 2026-02-12T13:13:05+00:00 main running
[guard] 2026-02-12T13:23:05+00:00 main running
[guard] 2026-02-12T13:33:05+00:00 main running
[guard] 2026-02-12T13:43:05+00:00 main running
[guard] 2026-02-12T13:53:05+00:00 main running
[guard] 2026-02-12T14:03:05+00:00 main running
[guard] 2026-02-12T14:13:05+00:00 main running
[guard] 2026-02-12T14:23:05+00:00 main running
[guard] 2026-02-12T14:33:05+00:00 main running
[guard] 2026-02-12T14:43:05+00:00 main running
[guard] 2026-02-12T14:53:05+00:00 main running
[guard] 2026-02-12T15:03:05+00:00 main running
[guard] 2026-02-12T15:13:05+00:00 main running
[guard] 2026-02-12T15:23:05+00:00 main running
[guard] 2026-02-12T15:33:05+00:00 main running
[guard] 2026-02-12T15:43:05+00:00 main running
[guard] 2026-02-12T15:53:05+00:00 main running
[guard] 2026-02-12T16:03:05+00:00 main running
[guard] 2026-02-12T16:13:05+00:00 main running
[guard] 2026-02-12T16:23:05+00:00 main running
[guard] 2026-02-12T16:33:05+00:00 main running
[guard] 2026-02-12T16:43:05+00:00 main running
[guard] 2026-02-12T16:53:05+00:00 main running
[guard] 2026-02-12T17:03:05+00:00 main running
[guard] 2026-02-12T17:13:05+00:00 main running
[guard] 2026-02-12T17:23:05+00:00 main running
[guard] 2026-02-12T17:33:05+00:00 main running
[guard] 2026-02-12T17:43:05+00:00 main running
[guard] 2026-02-12T17:53:05+00:00 main running
[guard] 2026-02-12T18:03:05+00:00 main running
[guard] 2026-02-12T18:13:05+00:00 main running
[guard] 2026-02-12T18:23:05+00:00 main running
[guard] 2026-02-12T18:33:05+00:00 main running
[guard] 2026-02-12T18:43:05+00:00 main running
[guard] 2026-02-12T18:53:05+00:00 main running
[guard] 2026-02-12T19:03:05+00:00 main running
[guard] 2026-02-12T19:13:05+00:00 main running
[guard] 2026-02-12T19:23:05+00:00 main NOT running
[guard] both experiments present; done
[guard] end 2026-02-12T19:23:05+00:00
