d,L,k_center,x0_center,k_optimal,x0_optimal,score_optimal,score_standard,k_step,x0_step,num_samples
64,4096,0.26999999999999996,29.0,0.245,31.0,0.06841938942670822,0.17364140152931212,0.001,0.5,1000
64,8192,0.26999999999999996,29.0,0.243,31.0,0.06784181296825409,0.1666933223605156,0.001,0.5,1000
64,16384,0.27999999999999997,29.0,0.267,30.0,0.10262304544448853,0.2152434691786766,0.001,0.5,1000
64,32768,0.29,27.0,0.244,31.0,0.10921338200569153,0.21569030582904816,0.001,0.5,1000
64,65536,0.27999999999999997,29.0,0.268,30.5,0.11262258887290955,0.2111715294420719,0.001,0.5,1000
64,131072,0.29,29.0,0.254,31.0,0.11305484920740128,0.2170461967587471,0.001,0.5,1000
128,4096,0.13999999999999999,58.0,0.126,63.0,0.060003139078617096,0.17569012343883517,0.001,0.5,1000
128,8192,0.13999999999999999,58.0,0.126,63.0,0.05840703099966049,0.16759080439805984,0.001,0.5,1000
128,16384,0.12999999999999998,58.0,0.125,63.0,0.08592081815004349,0.2004692293703556,0.001,0.5,1000
128,32768,0.12999999999999998,58.0,0.131,62.5,0.09000792354345322,0.20166519805788993,0.001,0.5,1000
128,65536,0.12999999999999998,58.0,0.115,63.0,0.09188812971115112,0.2004272557795048,0.001,0.5,1000
128,131072,0.13999999999999999,58.0,0.131,62.5,0.09076280891895294,0.20088160112500192,0.001,0.5,1000
256,4096,0.06999999999999999,116.0,0.06500000000000003,121.0,0.05893176794052124,0.1772378906607628,0.001,0.5,1000
256,8192,0.06999999999999999,116.0,0.06500000000000003,121.0,0.05773879587650299,0.16770595014095308,0.001,0.5,1000
256,16384,0.07999999999999999,116.0,0.06000000000000001,121.0,0.0775720626115799,0.1930100228637457,0.001,0.5,1000
256,32768,0.06999999999999999,116.0,0.06600000000000003,121.0,0.07896140217781067,0.1947535950690508,0.001,0.5,1000
256,65536,0.06999999999999999,114.0,0.06700000000000003,118.0,0.08179780095815659,0.19095760397613049,0.001,0.5,1000
256,131072,0.06999999999999999,116.0,0.07000000000000003,120.5,0.07931405305862427,0.19168008118867874,0.001,0.5,1000
