model,mode,accuracy,n,mean_true_nll,mean_fake_nll,mean_margin
Anchored-20,far,0.0,6,11.51689592997233,11.056892077128092,-0.4600038528442383
Anchored-20,mid,0.0,6,11.093176682790121,11.316184202829996,0.2230075200398763
Anchored-20,near,0.0,6,9.232484022776285,10.012622833251953,0.7801388104756674
Anchored-alpha*,far,0.0,6,10.554309527079264,11.671480337778727,1.117170810699463
Anchored-alpha*,mid,0.0,6,10.748669783274332,11.335590362548828,0.5869205792744955
Anchored-alpha*,near,0.0,6,10.766728639602661,11.775991121927897,1.009262482325236
Sigmoid,far,0.0,6,13.003685474395752,13.128986358642578,0.12530088424682617
Sigmoid,mid,0.0,6,10.916221221288046,10.962450822194418,0.04622960090637207
Sigmoid,near,0.0,6,9.808503866195679,12.139397144317627,2.3308932781219482
Standard,far,0.0,6,10.066933075586954,12.143489996592203,2.076556921005249
Standard,mid,0.0,6,10.443848848342896,10.775376478830973,0.3315276304880778
Standard,near,0.0,6,8.937012672424316,10.190406799316406,1.2533941268920898
