d,L,k_optimal,x0_optimal,k_formula,x0_formula,score_standard,score_formula,score_optimal,impr_formula_pct,impr_opt_pct,formula_vs_opt_gap_pct
64,4096,0.245,31.0,0.25349206349272563,31.235803549101067,0.1736414015293121,0.06969590485095978,0.0684193894267082,59.86216176722431,60.597306388846185,0.7351446216218762
64,8192,0.243,31.0,0.25349206349272563,31.35453139759131,0.1666933223605156,0.07016236558556557,0.067841812968254,57.90931238755799,59.30142131216913,1.392108924611147
64,16384,0.267,30.0,0.25349206349272563,31.47325924608155,0.2152434691786766,0.11203491985797882,0.1026230454444885,47.94967750451138,52.32234184104342,4.37266433653204
64,32768,0.244,31.0,0.25349206349272563,31.59198709457179,0.2156903058290481,0.11832959353923797,0.1092133820056915,45.139122927006426,49.36565109595056,4.226528168944134
64,65536,0.268,30.5,0.25349206349272563,31.710714943062033,0.2111715294420719,0.11445440277457236,0.1126225888729095,45.80026811522941,46.66772117886096,0.8674530636315517
64,131072,0.254,31.0,0.25349206349272563,31.829442791552275,0.2170461967587471,0.11891737431287766,0.1130548492074012,45.2110306060522,47.91208005682549,2.701049450773291
128,4096,0.126,63.0,0.12674603174636281,61.04687291631924,0.1756901234388351,0.061753970384597776,0.060003139078617,64.85063065819016,65.84717575230884,0.9965450941186871
128,8192,0.126,63.0,0.12674603174636281,61.165600764809476,0.1675908043980598,0.06111213564872742,0.0584070309996604,63.53491119741,65.14902401152472,1.6141128141147179
128,16384,0.125,63.0,0.12674603174636281,61.28432861329972,0.2004692293703556,0.09482463151216507,0.0859208181500434,52.698660133530076,57.14014643548635,4.441486301956282
128,32768,0.131,62.5,0.12674603174636281,61.40305646178996,0.2016651980578899,0.09477663263678551,0.0900079235434532,53.002980410343795,55.36764676787932,2.3646663575355262
128,65536,0.115,63.0,0.12674603174636281,61.521784310280204,0.2004272557795048,0.09557821229100227,0.0918881297111511,52.31276708385892,54.15387525325418,1.841108169395251
128,131072,0.131,62.5,0.12674603174636281,61.64051215877044,0.2008816011250019,0.09456095695495606,0.0907628089189529,52.92701948541622,54.81775911250616,1.8907396270899393
256,4096,0.065,121.0,0.06337301587318141,120.66901165075558,0.1772378906607628,0.05932939574122429,0.0589317679405212,66.52555753172325,66.74990448102437,0.22434694930112886
256,8192,0.065,121.0,0.06337301587318141,120.78773949924582,0.167705950140953,0.057833243161439896,0.0577387958765029,65.51509167514189,65.57140886893113,0.05631719378925694
256,16384,0.06,121.0,0.06337301587318141,120.90646734773605,0.1930100228637457,0.08226510658860206,0.0775720626115799,57.377805894216884,59.809308625209866,2.431502730992987
256,32768,0.066,121.0,0.06337301587318141,121.0251951962263,0.1947535950690508,0.08282617628574371,0.0789614021778106,57.47129789497477,59.4557409069576,1.9844430119828262
256,65536,0.067,118.0,0.06337301587318141,121.14392304471654,0.1909576039761304,0.08213648051023484,0.0817978009581565,56.98705953573765,57.164418040990306,0.17735850525264793
256,131072,0.07,120.5,0.06337301587318141,121.26265089320678,0.1916800811886787,0.08240811936557293,0.0793140530586242,57.007468457583144,58.62165094736576,1.614182489782607
