model,context_length,position_ratio,repeat,correct,status,passkey,pred_digits,generated_text
Standard,1024,0.1,0,0,ok,53637,,sential for expe
Standard,1024,0.1,1,0,ok,25146,,sential for expe
Standard,1024,0.3,0,0,ok,81717,,sential for expe
Standard,1024,0.3,1,0,ok,29316,,sential for expe
Standard,1024,0.5,0,0,ok,55294,,sential for expe
Standard,1024,0.5,1,0,ok,68108,,sential for expe
Standard,1024,0.7,0,0,ok,67067,,sential for expe
Standard,1024,0.7,1,0,ok,44493,,sential for expe
Standard,1024,0.9,0,0,ok,92247,,sential for expe
Standard,1024,0.9,1,0,ok,75618,,sential for expe
Standard,2048,0.1,0,0,ok,68456,,sential for expe
Standard,2048,0.1,1,0,ok,84161,,sential for expe
Standard,2048,0.3,0,0,ok,47767,,sential for expe
Standard,2048,0.3,1,0,ok,46890,,sential for expe
Standard,2048,0.5,0,0,ok,46648,,sential for expe
Standard,2048,0.5,1,0,ok,62787,,sential for expe
Standard,2048,0.7,0,0,ok,87632,,sential for expe
Standard,2048,0.7,1,0,ok,25877,,sential for expe
Standard,2048,0.9,0,0,ok,35961,,niang for langua
Standard,2048,0.9,1,0,ok,61145,,niang for langua
