model,bin,position_center,loss
Standard,1,64.5,0.04783724993467331
Standard,2,192.5,0.017729515209794044
Standard,3,320.5,0.016779031604528427
Standard,4,448.5,0.017511337995529175
Standard,5,576.5,0.020537998527288437
Standard,6,704.5,0.01685965061187744
Standard,7,832.5,0.016971902921795845
Standard,8,960.5,0.01766343042254448
Standard,9,1088.5,0.018975866958498955
Standard,10,1216.5,0.015690863132476807
Standard,11,1344.5,0.01874712109565735
Standard,12,1472.5,0.01656944863498211
Standard,13,1600.5,0.01822538860142231
Standard,14,1728.5,0.02556118369102478
Standard,15,1856.5,0.03240634873509407
Standard,16,1984.5,0.01790580525994301
Standard,17,2112.5,0.019386377185583115
Standard,18,2240.5,0.015576094388961792
Standard,19,2368.5,0.03643268719315529
Standard,20,2496.5,0.01460622064769268
Standard,21,2624.5,0.020413802936673164
Standard,22,2752.5,0.015228640288114548
Standard,23,2880.5,0.019009601324796677
Standard,24,3008.5,0.016358084976673126
Standard,25,3136.5,0.017484741285443306
Standard,26,3264.5,0.020452260971069336
Standard,27,3392.5,0.013411673717200756
Standard,28,3520.5,0.018962454050779343
Standard,29,3648.5,0.01874513179063797
Standard,30,3776.5,0.01360217947512865
Standard,31,3904.5,0.02150094509124756
Standard,32,4032.5,0.01417374424636364
