model,bin,position_center,loss
Standard,1,64.5,0.036518644541502
Standard,2,192.5,0.017856767401099205
Standard,3,320.5,0.017506541684269905
Standard,4,448.5,0.01848657615482807
Standard,5,576.5,0.017395496368408203
Standard,6,704.5,0.016127966344356537
Standard,7,832.5,0.017979372292757034
Standard,8,960.5,0.016042398288846016
Standard,9,1088.5,0.01775810495018959
Standard,10,1216.5,0.017284046858549118
Standard,11,1344.5,0.01726333424448967
Standard,12,1472.5,0.018674982711672783
Standard,13,1600.5,0.016486860811710358
Standard,14,1728.5,0.018338873982429504
Standard,15,1856.5,0.015557127073407173
Standard,16,1984.5,0.01826566457748413
Standard,17,2112.5,0.0190567784011364
Standard,18,2240.5,0.01783568412065506
Standard,19,2368.5,0.01660905033349991
Standard,20,2496.5,0.01761890947818756
Standard,21,2624.5,0.017955750226974487
Standard,22,2752.5,0.017928222194314003
Standard,23,2880.5,0.016108807176351547
Standard,24,3008.5,0.017537014558911324
Standard,25,3136.5,0.018893828615546227
Standard,26,3264.5,0.016057435423135757
Standard,27,3392.5,0.017650023102760315
Standard,28,3520.5,0.04381527379155159
Standard,29,3648.5,0.014897674322128296
Standard,30,3776.5,0.019541023299098015
Standard,31,3904.5,0.01751297153532505
Standard,32,4032.5,0.0158395878970623
