model,context_length,position_ratio,repeat,correct,status,passkey,pred_digits,generated_text
Standard,1024,0.1,0,0,ok,90491,,sential for expe
Standard,1024,0.1,1,0,ok,14073,,sential for expe
Standard,1024,0.1,2,0,ok,41614,,sential for expe
Standard,1024,0.1,3,0,ok,29333,,sential for expe
Standard,1024,0.1,4,0,ok,51733,,sential for expe
Standard,1024,0.1,5,0,ok,79651,,sential for expe
Standard,1024,0.1,6,0,ok,51569,,sential for expe
Standard,1024,0.1,7,0,ok,44866,,sential for expe
Standard,1024,0.1,8,0,ok,85076,,sential for expe
Standard,1024,0.1,9,0,ok,68266,,sential for expe
Standard,1024,0.3,0,0,ok,45236,,sential for expe
Standard,1024,0.3,1,0,ok,66440,,sential for expe
Standard,1024,0.3,2,0,ok,88562,,sential for expe
Standard,1024,0.3,3,0,ok,77011,,sential for expe
Standard,1024,0.3,4,0,ok,55027,,sential for expe
Standard,1024,0.3,5,0,ok,43967,,sential for expe
Standard,1024,0.3,6,0,ok,59407,,sential for expe
Standard,1024,0.3,7,0,ok,29925,,sential for expe
Standard,1024,0.3,8,0,ok,70172,,sential for expe
Standard,1024,0.3,9,0,ok,38379,,sential for expe
Standard,1024,0.5,0,0,ok,35324,,sential for expe
Standard,1024,0.5,1,0,ok,34095,,sential for expe
Standard,1024,0.5,2,0,ok,53379,,sential for expe
Standard,1024,0.5,3,0,ok,90144,,sential for expe
Standard,1024,0.5,4,0,ok,91261,,sential for expe
Standard,1024,0.5,5,0,ok,72602,,sential for expe
Standard,1024,0.5,6,0,ok,33990,,sential for expe
Standard,1024,0.5,7,0,ok,62935,,sential for expe
Standard,1024,0.5,8,0,ok,14553,,sential for expe
Standard,1024,0.5,9,0,ok,77912,,sential for expe
Standard,1024,0.7,0,0,ok,74036,,sential for expe
Standard,1024,0.7,1,0,ok,93925,,sential for expe
Standard,1024,0.7,2,0,ok,69541,,sential for expe
Standard,1024,0.7,3,0,ok,70452,,sential for expe
Standard,1024,0.7,4,0,ok,42124,,sential for expe
Standard,1024,0.7,5,0,ok,70512,,sential for expe
Standard,1024,0.7,6,0,ok,99726,,sential for expe
Standard,1024,0.7,7,0,ok,93199,,sential for expe
Standard,1024,0.7,8,0,ok,90154,,sential for expe
Standard,1024,0.7,9,0,ok,63492,,sential for expe
Standard,1024,0.9,0,0,ok,16216,,sential for expe
Standard,1024,0.9,1,0,ok,76316,,sential for expe
Standard,1024,0.9,2,0,ok,87791,,sential for expe
Standard,1024,0.9,3,0,ok,76835,,sential for expe
Standard,1024,0.9,4,0,ok,77387,,sential for expe
Standard,1024,0.9,5,0,ok,71300,,sential for expe
Standard,1024,0.9,6,0,ok,51625,,sential for expe
Standard,1024,0.9,7,0,ok,69897,,sential for expe
Standard,1024,0.9,8,0,ok,79214,,sential for expe
Standard,1024,0.9,9,0,ok,32171,,sential for expe
Standard,2048,0.1,0,0,ok,14473,,sential for expe
Standard,2048,0.1,1,0,ok,65280,,sential for expe
Standard,2048,0.1,2,0,ok,39167,,sential for expe
Standard,2048,0.1,3,0,ok,10463,,sential for expe
Standard,2048,0.1,4,0,ok,54640,,sential for expe
Standard,2048,0.1,5,0,ok,85088,,sential for expe
Standard,2048,0.1,6,0,ok,29876,,sential for expe
Standard,2048,0.1,7,0,ok,43841,,sential for expe
Standard,2048,0.1,8,0,ok,44839,,sential for expe
Standard,2048,0.1,9,0,ok,52097,,sential for expe
Standard,2048,0.3,0,0,ok,66503,,sential for expe
Standard,2048,0.3,1,0,ok,76232,,sential for expe
Standard,2048,0.3,2,0,ok,63816,,sential for expe
Standard,2048,0.3,3,0,ok,40799,,sential for expe
Standard,2048,0.3,4,0,ok,51355,,sential for expe
Standard,2048,0.3,5,0,ok,95056,,sential for expe
Standard,2048,0.3,6,0,ok,99680,,sential for expe
Standard,2048,0.3,7,0,ok,89808,,sential for expe
Standard,2048,0.3,8,0,ok,11523,,sential for expe
Standard,2048,0.3,9,0,ok,15294,,sential for expe
Standard,2048,0.5,0,0,ok,43101,,sential for expe
Standard,2048,0.5,1,0,ok,93622,,sential for expe
Standard,2048,0.5,2,0,ok,55183,,sential for expe
Standard,2048,0.5,3,0,ok,10168,,sential for expe
Standard,2048,0.5,4,0,ok,39489,,sential for expe
Standard,2048,0.5,5,0,ok,95034,,sential for expe
Standard,2048,0.5,6,0,ok,61604,,sential for expe
Standard,2048,0.5,7,0,ok,68623,,sential for expe
Standard,2048,0.5,8,0,ok,87240,,sential for expe
Standard,2048,0.5,9,0,ok,37932,,sential for expe
Standard,2048,0.7,0,0,ok,17496,,sential for expe
Standard,2048,0.7,1,0,ok,69993,,sential for expe
Standard,2048,0.7,2,0,ok,17129,,sential for expe
Standard,2048,0.7,3,0,ok,15666,,sential for expe
Standard,2048,0.7,4,0,ok,65413,,sential for expe
Standard,2048,0.7,5,0,ok,66465,,sential for expe
Standard,2048,0.7,6,0,ok,81929,,sential for expe
Standard,2048,0.7,7,0,ok,96018,,sential for expe
Standard,2048,0.7,8,0,ok,87696,,sential for expe
Standard,2048,0.7,9,0,ok,82277,,sential for expe
Standard,2048,0.9,0,0,ok,93940,,sential for expe
Standard,2048,0.9,1,0,ok,81145,,sential for expe
Standard,2048,0.9,2,0,ok,57727,,sential for expe
Standard,2048,0.9,3,0,ok,69546,,sential for expe
Standard,2048,0.9,4,0,ok,50007,,sential for expe
Standard,2048,0.9,5,0,ok,92905,,sential for expe
Standard,2048,0.9,6,0,ok,87715,,sential for expe
Standard,2048,0.9,7,0,ok,99314,,sential for expe
Standard,2048,0.9,8,0,ok,63781,,sential for expe
Standard,2048,0.9,9,0,ok,17760,,sential for expe
Standard,4096,0.1,0,0,ok,10320,,sential for expe
Standard,4096,0.1,1,0,ok,78712,,sential for expe
Standard,4096,0.1,2,0,ok,79433,,sential for expe
Standard,4096,0.1,3,0,ok,98371,,sential for expe
Standard,4096,0.1,4,0,ok,21745,,sential for expe
Standard,4096,0.1,5,0,ok,87803,,sential for expe
Standard,4096,0.1,6,0,ok,92436,,sential for expe
Standard,4096,0.1,7,0,ok,68949,,sential for expe
Standard,4096,0.1,8,0,ok,41362,,sential for expe
Standard,4096,0.1,9,0,ok,19004,,sential for expe
Standard,4096,0.3,0,0,ok,29380,,sential for expe
Standard,4096,0.3,1,0,ok,43740,,sential for expe
Standard,4096,0.3,2,0,ok,89138,,sential for expe
Standard,4096,0.3,3,0,ok,86147,,sential for expe
Standard,4096,0.3,4,0,ok,75515,,sential for expe
Standard,4096,0.3,5,0,ok,58893,,sential for expe
Standard,4096,0.3,6,0,ok,84807,,sential for expe
Standard,4096,0.3,7,0,ok,27406,,sential for expe
Standard,4096,0.3,8,0,ok,77276,,sential for expe
Standard,4096,0.3,9,0,ok,84626,,sential for expe
Standard,4096,0.5,0,0,ok,26743,,sential for expe
Standard,4096,0.5,1,0,ok,76224,,sential for expe
Standard,4096,0.5,2,0,ok,72119,,sential for expe
Standard,4096,0.5,3,0,ok,78078,,sential for expe
Standard,4096,0.5,4,0,ok,99662,,sential for expe
Standard,4096,0.5,5,0,ok,87059,,sential for expe
Standard,4096,0.5,6,0,ok,44763,,sential for expe
Standard,4096,0.5,7,0,ok,15138,,sential for expe
Standard,4096,0.5,8,0,ok,47510,,sential for expe
Standard,4096,0.5,9,0,ok,22517,,sential for expe
Standard,4096,0.7,0,0,ok,26965,,sential for expe
Standard,4096,0.7,1,0,ok,14265,,sential for expe
Standard,4096,0.7,2,0,ok,56813,,sential for expe
Standard,4096,0.7,3,0,ok,28782,,sential for expe
Standard,4096,0.7,4,0,ok,92987,,sential for expe
Standard,4096,0.7,5,0,ok,19827,,sential for expe
Standard,4096,0.7,6,0,ok,67293,,sential for expe
Standard,4096,0.7,7,0,ok,11443,,sential for expe
Standard,4096,0.7,8,0,ok,48701,,sential for expe
Standard,4096,0.7,9,0,ok,25168,,sential for expe
Standard,4096,0.9,0,0,ok,98545,,sential for expe
Standard,4096,0.9,1,0,ok,75790,,sential for expe
Standard,4096,0.9,2,0,ok,25937,,sential for expe
Standard,4096,0.9,3,0,ok,66622,,sential for expe
Standard,4096,0.9,4,0,ok,73718,,sential for expe
Standard,4096,0.9,5,0,ok,17978,,sential for expe
Standard,4096,0.9,6,0,ok,29615,,sential for expe
Standard,4096,0.9,7,0,ok,87679,,sential for expe
Standard,4096,0.9,8,0,ok,74429,,sential for expe
Standard,4096,0.9,9,0,ok,47919,,sential for expe
Standard,8192,0.1,0,0,ok,98971,,nential for expe
Standard,8192,0.1,1,0,ok,16904,,nential for expe
Standard,8192,0.1,2,0,ok,63451,,nential for expe
Standard,8192,0.1,3,0,ok,95006,,nential for expe
Standard,8192,0.1,4,0,ok,37038,,nential for expe
Standard,8192,0.1,5,0,ok,12798,,nential for expe
Standard,8192,0.1,6,0,ok,14598,,nential for expe
Standard,8192,0.1,7,0,ok,22376,,nential for expe
Standard,8192,0.1,8,0,ok,53692,,nential for expe
Standard,8192,0.1,9,0,ok,40078,,nential for expe
Standard,8192,0.3,0,0,ok,42446,,nential forentio
Standard,8192,0.3,1,0,ok,51165,,nential forentio
Standard,8192,0.3,2,0,ok,28948,,nential forentio
Standard,8192,0.3,3,0,ok,66100,,nential forentio
Standard,8192,0.3,4,0,ok,62058,,nential forentio
Standard,8192,0.3,5,0,ok,56829,,nential forentio
