model,bin,position_center,loss
Standard,1,64.5,0.05342795327305794
Standard,2,192.5,0.018045099452137947
Standard,3,320.5,0.015933683142066002
Standard,4,448.5,0.019391514360904694
Standard,5,576.5,0.018447931855916977
Standard,6,704.5,0.01669907569885254
Standard,7,832.5,0.01761648803949356
Standard,8,960.5,0.02130507305264473
Standard,9,1088.5,0.03368483483791351
Standard,10,1216.5,0.018799373880028725
Standard,11,1344.5,0.01984073966741562
Standard,12,1472.5,0.016528526321053505
Standard,13,1600.5,0.01832883432507515
Standard,14,1728.5,0.02024993672966957
Standard,15,1856.5,0.013813118450343609
Standard,16,1984.5,0.021521804854273796
Standard,17,2112.5,0.01564175821840763
Standard,18,2240.5,0.01816864311695099
Standard,19,2368.5,0.025470878928899765
Standard,20,2496.5,0.0252984669059515
Standard,21,2624.5,0.02229834347963333
Standard,22,2752.5,0.015117524191737175
Standard,23,2880.5,0.01969558745622635
Standard,24,3008.5,0.01739695481956005
Standard,25,3136.5,0.018452340736985207
Standard,26,3264.5,0.02047569677233696
Standard,27,3392.5,0.013040278106927872
Standard,28,3520.5,0.020767617970705032
Standard,29,3648.5,0.01789160445332527
Standard,30,3776.5,0.016561875119805336
Standard,31,3904.5,0.019303716719150543
Standard,32,4032.5,0.01484636403620243
Sigmoid,1,64.5,0.04356295242905617
Sigmoid,2,192.5,0.020371317863464355
Sigmoid,3,320.5,0.015284961089491844
Sigmoid,4,448.5,0.01729704812169075
Sigmoid,5,576.5,0.020373636856675148
Sigmoid,6,704.5,0.016265716403722763
Sigmoid,7,832.5,0.017599131911993027
Sigmoid,8,960.5,0.016298916190862656
Sigmoid,9,1088.5,0.01713656634092331
Sigmoid,10,1216.5,0.02104935795068741
Sigmoid,11,1344.5,0.01938280463218689
Sigmoid,12,1472.5,0.05090143159031868
Sigmoid,13,1600.5,0.0214458666741848
Sigmoid,14,1728.5,0.018874090164899826
Sigmoid,15,1856.5,0.01767294853925705
Sigmoid,16,1984.5,0.021591106429696083
Sigmoid,17,2112.5,0.030171765014529228
Sigmoid,18,2240.5,0.015097333118319511
Sigmoid,19,2368.5,0.02030566707253456
Sigmoid,20,2496.5,0.014968197792768478
Sigmoid,21,2624.5,0.017564140260219574
Sigmoid,22,2752.5,0.019076360389590263
Sigmoid,23,2880.5,0.015094995498657227
Sigmoid,24,3008.5,0.020295243710279465
Sigmoid,25,3136.5,0.01636015996336937
Sigmoid,26,3264.5,0.016442250460386276
Sigmoid,27,3392.5,0.017768505960702896
Sigmoid,28,3520.5,0.01640906184911728
Sigmoid,29,3648.5,0.020628178492188454
Sigmoid,30,3776.5,0.01775219850242138
Sigmoid,31,3904.5,0.016333667561411858
Sigmoid,32,4032.5,0.016319338232278824
Anchored-20,1,64.5,0.04029451683163643
Anchored-20,2,192.5,0.03671421855688095
Anchored-20,3,320.5,0.01750030741095543
Anchored-20,4,448.5,0.015112892724573612
Anchored-20,5,576.5,0.019461698830127716
Anchored-20,6,704.5,0.01328788511455059
Anchored-20,7,832.5,0.02197546698153019
Anchored-20,8,960.5,0.019186215475201607
Anchored-20,9,1088.5,0.013748656958341599
Anchored-20,10,1216.5,0.020716598257422447
Anchored-20,11,1344.5,0.01630469411611557
Anchored-20,12,1472.5,0.017668437212705612
Anchored-20,13,1600.5,0.019362352788448334
Anchored-20,14,1728.5,0.014892959967255592
Anchored-20,15,1856.5,0.01881793513894081
Anchored-20,16,1984.5,0.019128743559122086
Anchored-20,17,2112.5,0.0138167105615139
Anchored-20,18,2240.5,0.02030056156218052
Anchored-20,19,2368.5,0.01344978902488947
Anchored-20,20,2496.5,0.018945954740047455
Anchored-20,21,2624.5,0.01902611553668976
Anchored-20,22,2752.5,0.014860427938401699
Anchored-20,23,2880.5,0.020274905487895012
Anchored-20,24,3008.5,0.014905684627592564
Anchored-20,25,3136.5,0.01772141084074974
Anchored-20,26,3264.5,0.020184403285384178
Anchored-20,27,3392.5,0.012674970552325249
Anchored-20,28,3520.5,0.021436143666505814
Anchored-20,29,3648.5,0.01739060878753662
Anchored-20,30,3776.5,0.015106760896742344
Anchored-20,31,3904.5,0.019522182643413544
Anchored-20,32,4032.5,0.01472507230937481
