model,length,loss,ppl,status
Standard,512,0.02683281572535634,1.0271960573795558,ok
Standard,1024,0.0257866308093071,1.02612198229704,ok
Standard,2048,0.020035731606185436,1.0202377941105452,ok
Standard,4096,0.019385662861168385,1.0195747849322294,ok
Standard,8192,0.026606866158545017,1.0269639890942122,ok
Sigmoid,512,0.02370347175747156,1.0239866319107787,ok
Sigmoid,1024,0.020329502411186695,1.0205375542168418,ok
Sigmoid,2048,0.019985736813396215,1.0201867888084433,ok
Sigmoid,4096,0.01911800727248192,1.0193019265606214,ok
Sigmoid,8192,0.021647530607879162,1.0218835383167277,ok
Anchored-20,512,0.022198922466486692,1.0224471519519056,ok
Anchored-20,1024,0.02177412621676922,1.0220129124744028,ok
Anchored-20,2048,0.02133490890264511,1.0215641252727552,ok
Anchored-20,4096,0.017920780461281538,1.0180823211832402,ok
Anchored-20,8192,0.018255090340971947,1.0184227330599063,ok
