model,bin,position_center,loss
Standard,1,64.5,0.03862885758280754
Standard,2,192.5,0.017871709540486336
Standard,3,320.5,0.016702450811862946
Standard,4,448.5,0.019846713170409203
Standard,5,576.5,0.01639273576438427
Standard,6,704.5,0.016352731734514236
Standard,7,832.5,0.019177285954356194
Standard,8,960.5,0.015033015981316566
Standard,9,1088.5,0.01905623823404312
Standard,10,1216.5,0.016388021409511566
Standard,11,1344.5,0.019092831760644913
Standard,12,1472.5,0.016230743378400803
Standard,13,1600.5,0.017654437571763992
Standard,14,1728.5,0.02048128843307495
Standard,15,1856.5,0.014957381412386894
Standard,16,1984.5,0.01768484339118004
Standard,17,2112.5,0.016428016126155853
Standard,18,2240.5,0.016290515661239624
Standard,19,2368.5,0.020548097789287567
Standard,20,2496.5,0.018909400328993797
Standard,21,2624.5,0.037185244262218475
Standard,22,2752.5,0.017155811190605164
Standard,23,2880.5,0.015651822090148926
Standard,24,3008.5,0.0189877487719059
Standard,25,3136.5,0.01774400845170021
Standard,26,3264.5,0.01649913564324379
Standard,27,3392.5,0.02032860741019249
Standard,28,3520.5,0.013542881235480309
Standard,29,3648.5,0.020492931827902794
Standard,30,3776.5,0.015199941582977772
Standard,31,3904.5,0.01888306252658367
Standard,32,4032.5,0.016296211630105972
Sigmoid,1,64.5,0.0416361466050148
Sigmoid,2,192.5,0.016276895999908447
Sigmoid,3,320.5,0.0175166055560112
Sigmoid,4,448.5,0.016881495714187622
Sigmoid,5,576.5,0.01718992367386818
Sigmoid,6,704.5,0.019118009135127068
Sigmoid,7,832.5,0.016137301921844482
Sigmoid,8,960.5,0.017559828236699104
Sigmoid,9,1088.5,0.017527319490909576
Sigmoid,10,1216.5,0.016643671318888664
Sigmoid,11,1344.5,0.01854129508137703
Sigmoid,12,1472.5,0.017631465569138527
Sigmoid,13,1600.5,0.01743578165769577
Sigmoid,14,1728.5,0.01775962859392166
Sigmoid,15,1856.5,0.014909539371728897
Sigmoid,16,1984.5,0.01934211328625679
Sigmoid,17,2112.5,0.017928507179021835
Sigmoid,18,2240.5,0.016417820006608963
Sigmoid,19,2368.5,0.020482689142227173
Sigmoid,20,2496.5,0.014459541067481041
Sigmoid,21,2624.5,0.01834404096007347
Sigmoid,22,2752.5,0.02347669005393982
Sigmoid,23,2880.5,0.030403103679418564
Sigmoid,24,3008.5,0.022026296705007553
Sigmoid,25,3136.5,0.015172007493674755
Sigmoid,26,3264.5,0.01771579682826996
Sigmoid,27,3392.5,0.01757996715605259
Sigmoid,28,3520.5,0.014952855184674263
Sigmoid,29,3648.5,0.0203830748796463
Sigmoid,30,3776.5,0.01367576140910387
Sigmoid,31,3904.5,0.020476169884204865
Sigmoid,32,4032.5,0.03916987031698227
