model,length,loss,ppl,status
Standard,1024,0.01968387421220541,1.0198788790462319,ok
Standard,2048,0.02117461943998933,1.021400392430722,ok
Standard,4096,0.017994054593145847,1.01815692301465,ok
Standard,8192,0.026561766397207975,1.0269176743078032,ok
Standard,16384,0.03418223559856415,1.0347731620534146,ok
Standard,32768,0.16299590468406677,1.177031869361228,ok
Sigmoid,1024,0.019318921957165003,1.0195067398601039,ok
Sigmoid,2048,0.0209873178973794,1.0212091004767956,ok
Sigmoid,4096,0.01801886735484004,1.0181821866131768,ok
Sigmoid,8192,0.047020986676216125,1.0481440059077145,ok
Sigmoid,16384,0.12146718800067902,1.1291523155723011,ok
Sigmoid,32768,0.5547343492507935,1.7414782983056212,ok
