model,context_length,position_ratio,repeat,correct,status,passkey,pred_digits,generated_text
Standard,1024,0.1,0,0,ok,91689,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.1,1,0,ok,27938,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.1,2,0,ok,90529,,"In the absence of the universe. 
The most common example of the universe"
Standard,1024,0.1,3,0,ok,53783,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.1,4,0,ok,25246,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.1,5,0,ok,62582,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.1,6,0,ok,93061,,"In the absence of the universe. 
The most common example of the universe"
Standard,1024,0.1,7,0,ok,50324,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.1,8,0,ok,32746,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.1,9,0,ok,73756,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.1,10,0,ok,87229,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.1,11,0,ok,84464,,"In the absence of the universe. 
The most common example of the universe"
Standard,1024,0.1,12,0,ok,21424,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.1,13,0,ok,40504,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.1,14,0,ok,21435,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.1,15,0,ok,62093,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.1,16,0,ok,90134,,"In the absence of the universe. 
The most common example of the universe"
Standard,1024,0.1,17,0,ok,72365,,"In the absence of the universe. 
The most common example of the universe"
Standard,1024,0.1,18,0,ok,43715,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.1,19,0,ok,73699,,"In the absence of the universe. 
The most common example of the universe"
Standard,1024,0.3,0,0,ok,91968,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.3,1,0,ok,66382,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.3,2,0,ok,21984,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.3,3,0,ok,91317,,"In the most common terms of the universe. 
The most common example of"
Standard,1024,0.3,4,0,ok,45378,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.3,5,0,ok,79988,,"In the absence of the universe. 
The most common example of the universe"
Standard,1024,0.3,6,0,ok,83041,,"In the absence of the universe. 
The most common example of the universe"
Standard,1024,0.3,7,0,ok,69296,1990,"In the mid-1990s, and the number of events is limited. "
Standard,1024,0.3,8,0,ok,39356,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.3,9,0,ok,46361,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.3,10,0,ok,32658,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.3,11,0,ok,43235,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.3,12,0,ok,57173,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.3,13,0,ok,85907,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.3,14,0,ok,35806,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.3,15,0,ok,64769,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.3,16,0,ok,11981,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.3,17,0,ok,78387,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.3,18,0,ok,87380,,"In the absence of the universe. 
The most common example of the universe"
Standard,1024,0.3,19,0,ok,33070,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.5,0,0,ok,42170,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.5,1,0,ok,69545,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.5,2,0,ok,52048,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.5,3,0,ok,84123,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.5,4,0,ok,12965,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.5,5,0,ok,86915,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.5,6,0,ok,88330,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.5,7,0,ok,83540,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.5,8,0,ok,24842,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.5,9,0,ok,13986,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.5,10,0,ok,60311,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.5,11,0,ok,11987,,"In the absence of the universe. 
The most common example of the universe"
Standard,1024,0.5,12,0,ok,16439,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.5,13,0,ok,88747,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.5,14,0,ok,73412,,"
referred to the high-quality nature of the universe. 
The"
Standard,1024,0.5,15,0,ok,73736,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.5,16,0,ok,10943,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.5,17,0,ok,49088,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.5,18,0,ok,66860,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.5,19,0,ok,26209,1990,"In the mid-1990s. 
The most common example of the universe"
Standard,1024,0.7,0,0,ok,69528,,"In the absence of the universe. 
The most common example of the universe"
Standard,1024,0.7,1,0,ok,66776,,"In the absence of the universe. 
The most common example of the universe"
Standard,1024,0.7,2,0,ok,76902,,"In the most common terms of the universe. 
The most common example of"
Standard,1024,0.7,3,0,ok,69358,,"In the absence of the universe. 
The most common example of the universe"
Standard,1024,0.7,4,0,ok,39372,,"In the absence of the universe. 
The most common example of the universe"
Standard,1024,0.7,5,0,ok,74227,,"In the absence of the universe. 
The most common example of the universe"
Standard,1024,0.7,6,0,ok,99554,,"In the most difficult way.

In the early stages of the universe,"
Standard,1024,0.7,7,0,ok,52470,,"In the absence of the universe. 
The most common example of the universe"
Standard,1024,0.7,8,0,ok,73057,,"In the most common terms of the universe. 
The most common example of"
Standard,1024,0.7,9,0,ok,43425,,"In the absence of the universe. 
The most common example of the universe"
Standard,1024,0.7,10,0,ok,39114,,"In the absence of the universe. 
The most common example of the universe"
Standard,1024,0.7,11,0,ok,69090,,"In the absence of the universe. 
The most common example of the universe"
Standard,1024,0.7,12,0,ok,48338,,"In the absence of the universe. 
The most common example of the universe"
